Cust_ID,Bal_OutStanding,Acc_Number,Card_Number,Card_Sec_Code,Card_Provider,Expiry_Dt,Credit_Limit,Limit_Utilized,Status,Default,Due_Date
9073,"$5,857.07",DTAI43294316756256,3537390603125023,845,Diners Club / Carte Blanche,01/27,$15.40,$402.16,Active,Y,2021-09-06
9707,"$23,735.91",LCGQ53344486475304,180098347897841,749,VISA 16 digit,01/25,"$41,237.93","$3,740.38",Active,Y,2021-08-28
9707,$558.75,RCAO77067771113126,4019126334088601644,208,Maestro,12/22,$33.65,"$3,785.14",Active,Y,2021-09-04
9707,$8.03,GOTC68602373245561,2715384331845354,559,VISA 16 digit,02/23,"$6,190.89","$46,354.60",Dormant,Y,2021-09-14
5203,$55.73,UKCB56237625425660,377604848708982,962,VISA 13 digit,01/24,$2.91,$8.29,Active,Y,2021-09-10
5203,$924.05,NIRR70916620829821,4761657004049438857,290,Mastercard,02/23,"$58,966.44","$4,570.86",Active,Y,2021-09-02
5203,$2.50,KHFH02821691972990,6531953985225098,250,JCB 15 digit,02/26,$6.44,$5.82,Closed,Y,2021-09-03
5203,"$4,003.00",IKZX60071542738526,676225544573,749,Discover,02/23,"$38,855.36",$45.70,Freezed,Y,2021-09-01
4135,"$9,197.37",JAPA43666609759294,4448727820928051374,075,Discover,09/22,$66.90,$300.65,Closed,N,2021-09-02
4135,$3.27,KAMP82019550131870,3578252780818509,944,Mastercard,11/21,"$9,877.10","$62,222.39",Active,Y,2021-09-05
4135,$6.64,KAKM24629264802227,5469597568512501,762,American Express,08/24,"$6,408.11",$7.60,Dormant,Y,2021-09-02
4135,$265.95,WUWY08086259118243,4059306046092519,743,Mastercard,11/21,$917.02,$33.45,Active,Y,2021-08-31
5486,"$1,759.26",EAAK80001992260669,4636376914484,606,JCB 16 digit,10/26,$72.57,$952.57,Active,N,2021-09-14
5486,$39.06,VKWH25838612695166,349973409561808,661,Diners Club / Carte Blanche,08/25,$29.48,$3.42,Active,Y,2021-09-11
9192,$946.04,OCUW16882223230827,3573288182028698,314,Discover,10/25,"$85,510.33","$2,546.92",Active,N,2021-09-15
9192,"$6,064.63",LTXJ51642585826843,4764092627906196,512,JCB 15 digit,07/27,$643.07,"$6,587.35",Freezed,Y,2021-09-01
9192,$62.19,MLMP84661220998139,6538707914878671,029,JCB 16 digit,07/22,"$45,114.96","$8,456.41",Active,N,2021-09-05
9192,$70.69,UTQD49261001575175,4385249271176968146,300,JCB 16 digit,09/25,$462.34,$417.25,Dormant,Y,2021-09-09
1688,$81.66,PHKQ01756360906143,2430896182336674,5572,Mastercard,07/22,$2.92,"$81,817.18",Active,N,2021-09-03
1688,"$57,993.68",XKFD25030068021993,630436094092,814,JCB 16 digit,12/23,"$9,395.36","$7,278.52",Freezed,N,2021-09-06
6718,$9.85,HNHI77237457928134,4037958300020,783,Discover,01/27,$78.74,"$50,985.27",Active,N,2021-09-02
6718,$87.35,QUVD02505927636732,4931864573250,0063,JCB 15 digit,09/21,"$48,119.70",$9.74,Active,Y,2021-09-11
6718,"$8,070.86",MBZZ58352889962979,180076757123122,699,VISA 13 digit,05/27,"$4,954.10",$66.68,Dormant,Y,2021-09-03
1720,$0.25,BUII61545938805880,3541243885716882,716,VISA 16 digit,09/24,"$83,744.66",$2.36,Dormant,N,2021-09-09
1720,"$69,718.76",FPAU45251986149181,6011197524364005,2803,VISA 16 digit,02/26,$2.85,$33.82,Active,Y,2021-09-06
1720,"$3,016.92",SEPB83518323639752,676341558408,760,Diners Club / Carte Blanche,03/25,$53.23,$88.40,Active,Y,2021-09-02
1720,$1.63,IXLR33752480154501,3582490664934588,141,Maestro,09/22,$92.84,$70.62,Active,Y,2021-09-06
2212,"$18,712.18",YBQZ17372984092555,30103914032921,645,VISA 16 digit,07/22,"$7,976.29","$10,216.67",Active,N,2021-09-10
2212,$0.36,JQUW42073965747274,4940009243675515,930,Mastercard,01/26,$31.91,$421.69,Active,Y,2021-09-14
2212,"$2,465.64",ZWKL96696849336348,3510209845363526,2547,Diners Club / Carte Blanche,11/23,"$2,416.44",$3.60,Active,N,2021-09-14
2212,$19.33,FQEZ98887546478034,4299869300690286,954,VISA 16 digit,05/26,$188.10,$9.62,Dormant,Y,2021-09-04
9715,"$3,680.78",JIIG60081042282150,376687868132689,7695,American Express,12/25,"$2,558.03",$8.81,Closed,N,2021-09-05
9715,"$82,392.19",XKEK91153475778811,341220691184941,978,VISA 13 digit,12/21,"$9,156.93",$9.50,Freezed,N,2021-09-01
2212,$147.76,TOKS56928663564334,370105249874867,943,Mastercard,07/27,$2.39,$574.58,Active,Y,2021-09-15
2212,$17.52,HRSL73959253248289,30531118098597,262,JCB 16 digit,01/24,$6.22,$24.86,Dormant,Y,2021-09-01
2212,"$8,826.49",DOPG29593187346483,2713001419629987,905,JCB 16 digit,10/26,"$3,808.53",$26.19,Freezed,N,2021-09-14
2212,$30.79,LNKX00339287148476,4422932234745,724,JCB 16 digit,07/23,"$2,573.43","$42,726.48",Active,Y,2021-08-29
6415,$175.68,GOGM11861872033319,4023771944654194,271,JCB 16 digit,04/25,$2.27,$0.91,Active,Y,2021-09-09
6415,$966.82,MNCR38337131829389,2559913263074283,283,VISA 16 digit,11/23,"$26,204.79","$3,494.86",Dormant,Y,2021-09-12
6415,"$72,049.78",QUTN96479055303738,4218551533486660,752,JCB 16 digit,06/23,$911.73,$31.98,Active,N,2021-09-12
2180,$30.32,TOSY49601270554660,30067048967999,6213,JCB 16 digit,05/26,$0.86,$2.01,Closed,N,2021-08-30
2180,$29.92,JUHG19238375046988,3520416437748620,7725,Mastercard,07/25,"$5,361.60",$657.33,Active,Y,2021-08-28
2180,$4.14,EWKW98634174344152,3542035410645936,665,Mastercard,10/22,"$62,448.18","$17,482.76",Freezed,N,2021-08-30
3330,$934.81,OFFO42790860114163,4017823695820769,841,VISA 19 digit,05/26,"$7,472.66",$3.53,Dormant,Y,2021-08-28
3330,$511.89,IXMH79885260969345,38503931721889,156,Diners Club / Carte Blanche,08/21,"$79,478.54","$8,095.22",Freezed,Y,2021-09-02
3330,$3.12,QKPU74542237505794,6531608750394673,663,Discover,12/26,"$52,506.77",$1.29,Active,N,2021-09-12
2468,$70.86,RBFP21174446094571,4000902927192082112,256,Maestro,05/26,$6.58,$79.12,Active,N,2021-08-28
2468,$54.67,BYUW43748361600150,3591317611778280,218,JCB 16 digit,10/23,$589.86,$145.85,Active,N,2021-08-28
2364,$34.32,UIKG19356146850536,5165273690397669,814,JCB 15 digit,09/25,$9.53,$284.68,Freezed,N,2021-08-31
2364,$7.72,BYNR42404156043245,4667341290421241,007,JCB 16 digit,07/26,$361.31,$228.22,Closed,N,2021-09-12
2364,$642.02,QUDF73999164040092,4486586771495440,685,JCB 16 digit,03/23,"$87,275.72",$830.07,Dormant,Y,2021-09-08
2364,$331.87,KFMH98308378799555,3569807883646007,787,JCB 16 digit,08/26,$175.83,$9.80,Active,Y,2021-09-10
1662,$59.41,JVJS52076631647676,341655450342281,745,VISA 16 digit,05/27,$5.86,$5.31,Active,N,2021-09-13
1662,$627.50,ENZG63412755475327,4318410616772208,264,JCB 15 digit,07/25,$370.25,$923.39,Active,N,2021-09-03
1662,$1.91,EWKZ37218997521524,5516914199134626,213,American Express,04/27,"$7,331.27",$975.97,Active,Y,2021-09-15
3528,$509.92,OFDB78889986659535,4325689563609395,4475,VISA 19 digit,03/24,"$45,656.40",$22.93,Closed,N,2021-09-13
3528,$58.81,PEQX07201802105431,675906231922,675,JCB 15 digit,06/25,"$8,466.22",$388.29,Active,N,2021-09-08
9818,$7.36,WXCZ19229355116725,4275811600356356915,709,JCB 16 digit,06/27,$6.47,$34.54,Dormant,Y,2021-08-28
9818,$11.08,SQGT39979412613224,347974360552184,228,American Express,07/25,$206.07,"$7,709.52",Active,Y,2021-09-04
4695,$79.21,LSFC13137306545947,4315624492601264,299,VISA 13 digit,03/22,$0.09,$699.12,Dormant,N,2021-08-28
4695,"$97,826.52",QXBJ76370896539542,6011193813578918,074,JCB 15 digit,11/25,$92.73,"$50,954.83",Freezed,N,2021-09-10
4153,"$2,515.45",UTMA63697402978100,4683859306780359,296,JCB 16 digit,01/23,$96.62,$48.67,Active,Y,2021-09-04
4153,$192.50,ZCEM69238100664260,30293303145549,061,Diners Club / Carte Blanche,11/24,"$4,950.98","$11,812.24",Active,Y,2021-08-30
4636,$39.89,GWOV94603943514754,6011808614384113,893,Discover,06/24,$37.58,$594.72,Active,Y,2021-09-11
4636,"$96,405.20",BIWD54353333618425,180085221442745,735,VISA 19 digit,07/22,$7.67,$6.17,Closed,N,2021-09-01
7071,$1.63,XNQL33211892457836,371720174547053,843,VISA 16 digit,01/27,$7.46,$5.03,Active,N,2021-09-14
7071,$916.94,YETT25205218593181,3535556306984690,539,VISA 16 digit,02/24,$32.70,$67.44,Active,Y,2021-09-02
7071,$9.06,XVPQ97459130648539,676115062124,365,JCB 16 digit,10/21,$2.90,"$35,798.03",Closed,Y,2021-09-02
838,$2.10,ETJR46980799364841,4697745099941512676,515,Maestro,09/23,$0.67,"$50,412.00",Closed,Y,2021-09-07
838,"$88,199.67",KSWI84771945165015,4493287747112804557,792,Diners Club / Carte Blanche,08/24,"$8,905.00","$8,894.15",Active,N,2021-09-09
838,"$4,098.58",SDRG90004718073484,346524708845492,9447,VISA 16 digit,08/23,$732.71,"$45,453.08",Active,Y,2021-09-14
9386,$6.50,EZWH97876274205454,4660545903905559,281,Mastercard,01/23,$774.72,$571.55,Active,Y,2021-09-11
9386,"$63,183.08",HMAB12959200829212,2715516359423826,9989,JCB 16 digit,09/24,"$3,515.24",$326.33,Active,Y,2021-09-08
461,"$16,930.52",TWGN09369779666042,4907243504968,7920,American Express,11/22,"$4,469.37",$28.46,Freezed,N,2021-08-31
461,"$5,691.06",FKDQ97296324075758,3503962498326971,966,VISA 19 digit,02/24,$77.70,$542.23,Active,N,2021-08-31
9340,$139.92,WTRQ41880056975931,4084638195545,339,VISA 13 digit,10/26,$364.62,$6.09,Active,N,2021-09-12
9340,$2.49,NNVC94852002650558,213179390914617,524,Diners Club / Carte Blanche,06/23,"$58,713.95","$80,006.94",Closed,N,2021-09-13
9340,$642.04,SZSM81198335862010,502055194133,773,VISA 16 digit,07/26,$4.73,$708.61,Freezed,N,2021-09-15
9340,$6.45,ULGN91635112432366,4167253232090778834,747,VISA 16 digit,02/25,"$6,349.50",$605.00,Closed,Y,2021-09-13
4153,$9.08,GSSN41121283379463,3580862792046976,446,VISA 19 digit,07/22,"$8,825.36",$9.77,Dormant,N,2021-09-03
4153,$9.80,BQQP13267133126764,4965831488354385,5314,VISA 13 digit,09/23,$74.85,$2.18,Closed,Y,2021-09-03
9761,$6.63,NNKN60479901029832,4806792020865150789,386,American Express,01/24,"$69,217.07",$96.34,Active,N,2021-09-08
9761,$9.20,XKNE84731429332007,4606772318812,4390,VISA 16 digit,05/22,$362.08,"$50,030.95",Active,N,2021-09-14
4097,"$24,485.52",QXAQ16196711726268,3537400668021569,666,VISA 13 digit,11/24,$117.53,$97.37,Active,Y,2021-09-08
4097,"$6,811.22",BLNI42197859380378,4685921530667,029,VISA 19 digit,08/22,$5.73,"$9,872.20",Active,Y,2021-09-12
4097,"$5,384.55",NERR03483408546203,4383999073342273014,409,Diners Club / Carte Blanche,11/26,$741.01,"$6,165.21",Closed,N,2021-09-01
4645,"$9,602.44",PJXO85791436757275,4065460003610679314,521,VISA 16 digit,01/25,$7.41,"$49,388.48",Active,N,2021-09-03
4645,$269.07,CIUS39284120898787,4279010427233380079,900,VISA 13 digit,11/23,"$92,155.83",$22.51,Closed,N,2021-09-07
7130,"$6,848.21",AHZK11447016344991,30378173595590,052,JCB 16 digit,06/27,"$2,268.55",$7.89,Dormant,Y,2021-09-05
7130,"$1,120.68",ERDL54501645402753,3561566532566846,576,VISA 16 digit,10/22,$2.55,$20.77,Active,N,2021-09-06
7130,"$14,953.00",GCNL81229381486053,3531632305611982,4456,Diners Club / Carte Blanche,04/27,$11.45,$41.33,Active,Y,2021-08-28
3525,$140.59,WEVO78505017703801,30273080877647,056,Maestro,12/26,"$35,324.88","$25,626.87",Active,Y,2021-09-15
3525,$926.16,MDNE79949608093292,4599812907774639,399,JCB 15 digit,05/23,"$2,914.63",$665.56,Active,N,2021-09-06
8136,$403.75,DAGU41341323965423,587505757118,983,American Express,06/25,"$59,099.96",$353.95,Active,Y,2021-09-15
8136,$5.06,UQPA27910474388254,3549657157680686,186,American Express,06/27,"$3,498.34",$6.33,Active,Y,2021-08-30
8136,"$6,396.36",EFYK64577629734667,345097896304888,804,Maestro,12/22,$43.73,"$29,362.74",Dormant,N,2021-09-15
3404,$230.05,DRYE97996854822121,4887510557284013,998,JCB 15 digit,04/27,$319.50,$67.69,Active,N,2021-08-30
3404,"$4,447.64",IBWU38568518970386,30274822913823,999,Diners Club / Carte Blanche,05/27,$725.73,"$1,673.27",Active,Y,2021-08-31
3404,"$65,891.56",ANVN98831156843772,30018556531677,405,Mastercard,06/26,$880.55,$30.70,Active,N,2021-09-09
5486,$41.16,DDRW19102479824499,4341576590019971,101,VISA 16 digit,07/25,$8.82,$42.13,Active,Y,2021-09-03
5486,"$60,262.16",THKI27253329676092,30378043035843,591,Diners Club / Carte Blanche,07/23,$5.92,$940.12,Active,Y,2021-09-02
5486,"$93,701.13",TZAJ10602341309766,630453335097,643,Diners Club / Carte Blanche,08/26,$4.64,"$9,421.13",Active,N,2021-08-31
5633,"$6,379.71",TVOB85352057189649,6011600498342907,8779,Maestro,08/27,$581.17,$59.30,Active,Y,2021-08-30
5633,"$3,820.69",RFHV07137494409541,3543009279239544,387,Mastercard,08/23,"$8,704.88",$6.56,Active,Y,2021-09-13
5633,"$42,658.83",ATAO02104411139905,4818734405949437,1397,VISA 16 digit,05/26,$497.28,$329.67,Active,N,2021-09-04
5633,$739.70,KTZT70897649035552,3558446711632344,910,JCB 16 digit,04/25,$7.93,"$8,230.57",Active,Y,2021-09-03
5288,"$52,403.84",PXKF48103358255343,3599422970794837,772,VISA 19 digit,08/24,$872.66,$7.90,Dormant,N,2021-09-01
5288,$91.71,UQYB64464100923808,4133224874743535,366,VISA 13 digit,03/27,"$9,390.49","$5,992.00",Dormant,N,2021-08-29
5035,$4.50,MKOR29147912483856,3531876945112378,595,VISA 13 digit,06/26,$866.45,"$42,049.49",Closed,N,2021-09-04
5035,$661.66,SKYC57012244232558,213107287203232,110,Maestro,07/22,$3.45,"$85,833.29",Freezed,Y,2021-09-12
5035,$83.29,HYHS08387526773786,3555745955146173,895,Mastercard,04/27,"$6,501.10","$6,214.65",Active,N,2021-09-07
6124,$630.62,EPJS07782861993768,3519039110332356,021,VISA 16 digit,04/23,$31.16,$1.07,Active,Y,2021-08-30
6124,$2.38,KRHB04962339698220,6515915618501047,5427,Discover,03/27,"$3,987.88",$13.59,Closed,N,2021-09-09
5807,"$74,245.61",NTKP40072103431833,180068532412052,940,JCB 16 digit,12/25,$3.20,"$36,512.18",Active,Y,2021-08-30
5807,$4.84,QJNJ77996330352430,503818110127,139,JCB 16 digit,06/26,"$97,449.92","$4,209.04",Active,Y,2021-09-03
5138,$977.34,GWGK61076446946922,3565963500198619,477,JCB 15 digit,02/26,"$3,354.45",$802.05,Closed,N,2021-08-31
5138,"$9,747.39",ACFB59587636058679,6535555255145447,659,JCB 16 digit,01/23,$731.46,$194.52,Freezed,N,2021-09-11
5138,"$6,166.31",TMSI99124289864291,4963913472424002,211,JCB 16 digit,08/27,$471.18,"$74,207.71",Active,N,2021-09-08
5138,"$63,081.06",JNJY69073843098416,4517042733518,641,VISA 19 digit,09/25,$67.39,"$5,107.63",Active,Y,2021-09-07
6339,$5.68,UARF26852523762152,376698497632742,623,Discover,12/22,"$31,292.59","$50,555.79",Active,Y,2021-08-30
6339,$577.75,ODWE50144429367804,4922444151031959,889,JCB 16 digit,02/25,"$46,596.64","$58,101.42",Active,Y,2021-09-09
6339,$1.11,UYMS14588644173470,213149761243391,763,JCB 16 digit,11/26,"$8,696.83",$41.19,Closed,N,2021-09-11
6339,$86.71,HZAD05624011474264,340003107143854,899,Diners Club / Carte Blanche,01/26,$0.97,$4.64,Active,N,2021-08-28
5417,$2.31,HQOF79532147806367,3546533362643202,039,VISA 19 digit,05/24,"$6,229.57",$61.53,Dormant,N,2021-09-07
5417,"$4,299.51",SEZY60808389502181,379043720283574,370,Diners Club / Carte Blanche,10/25,$1.39,"$7,868.33",Active,Y,2021-09-01
5417,$97.91,HWWF65316323796452,6011822789209062,881,Maestro,02/22,$1.64,$7.70,Active,N,2021-08-28
7928,$93.49,YTUQ97885154040065,4300452997463028423,878,VISA 16 digit,09/26,$64.00,$1.41,Freezed,N,2021-09-01
7928,$71.79,APSL23289924772342,6594051955859386,432,American Express,09/23,"$19,450.89",$426.11,Dormant,N,2021-09-03
7928,"$8,200.11",WDVH21477502353004,4082583945369,458,Diners Club / Carte Blanche,12/24,"$76,377.42",$2.33,Dormant,N,2021-08-29
7928,"$11,136.54",FSBO45916456565538,375566438141571,580,Mastercard,04/27,$3.36,"$95,183.43",Closed,Y,2021-09-02
613,"$57,319.50",PXTN42074019058769,180098032156768,298,JCB 15 digit,01/24,"$9,087.79","$66,338.10",Closed,N,2021-09-04
613,$83.08,UPYD30564589525215,3509522429271953,338,Mastercard,04/25,$176.84,$2.46,Active,N,2021-09-14
613,"$68,593.62",CILM15926844529013,3589652989781662,720,Maestro,12/21,$1.33,"$5,025.91",Active,Y,2021-09-10
613,"$68,271.37",PCKH47263888727277,4795671277723215292,844,Diners Club / Carte Blanche,10/23,$34.58,$86.67,Active,Y,2021-09-01
8172,$35.59,YOHJ00490093855518,6518902665009253,597,VISA 16 digit,11/24,"$86,163.03",$90.99,Closed,N,2021-08-29
8172,"$36,655.86",YSIA20185194259390,4497541527076454,964,JCB 16 digit,10/26,$883.83,"$8,267.04",Active,N,2021-09-07
8172,"$9,146.30",NRKN66718074151758,4539813642066,845,American Express,10/26,"$6,312.24",$946.96,Dormant,Y,2021-09-08
8557,$830.64,LJSO28341724125879,630494328150,445,Maestro,10/26,$71.38,$82.83,Dormant,Y,2021-09-09
8557,"$39,765.59",BRTF63409505513186,213138626044102,609,VISA 13 digit,09/21,"$2,511.35","$49,916.98",Active,Y,2021-09-14
4185,$248.67,BLFD35805839351101,36925773599093,700,VISA 13 digit,11/22,$3.28,"$10,368.79",Active,Y,2021-09-08
4185,"$10,615.48",KPMU67550271852650,4319267349918,072,Discover,01/27,$3.12,"$3,864.07",Active,N,2021-09-01
7130,$3.70,UQDZ61508746977578,4694234997449,6448,Discover,11/25,$782.20,"$85,593.71",Active,N,2021-09-02
7130,$761.62,QHAL33446644203297,4386330824953431,594,American Express,09/25,"$83,123.44",$736.60,Active,N,2021-09-12
7130,"$58,642.68",GRRV77098700913918,3589174830566788,051,JCB 16 digit,08/27,"$44,340.82",$6.17,Freezed,N,2021-09-13
6537,$802.78,VCLB37819344037235,4016517057701,303,JCB 16 digit,08/26,$4.38,"$71,004.68",Dormant,Y,2021-09-14
6537,"$8,802.23",UBBU75860080281378,4329844811668159444,992,Maestro,09/25,"$88,269.79",$90.69,Active,N,2021-08-28
6537,$0.18,RQHB37020273715869,6576664128889965,8846,American Express,06/24,$63.57,$5.73,Closed,Y,2021-09-02
6537,$0.85,OYSH31467624494033,3552684050003539,726,VISA 16 digit,09/21,"$86,846.44",$185.99,Active,N,2021-09-07
6080,"$1,744.91",ZMPM25708345932689,6011381723770614,334,Maestro,01/24,"$19,827.11","$1,976.52",Closed,Y,2021-08-30
6080,$611.38,JIDM85145396510703,4963111634015839068,646,Mastercard,01/22,"$2,333.01",$33.66,Dormant,Y,2021-09-12
6080,$22.76,CUJV19460419638532,503812175399,066,JCB 16 digit,10/21,$93.75,"$6,488.06",Closed,Y,2021-09-02
6080,$201.21,OCRM18281732529046,4165459813366292,061,Maestro,11/24,$759.06,$30.65,Dormant,Y,2021-09-15
4428,$465.52,KQKS67251355305815,4435367540923,176,JCB 16 digit,02/25,$48.13,"$40,460.31",Dormant,N,2021-09-13
4428,"$43,616.98",ISUA14274418192911,4442352811759134202,614,VISA 16 digit,04/23,$944.77,$283.06,Closed,Y,2021-09-14
4428,$602.94,RHTB28511292524874,4014456629819675499,426,JCB 16 digit,10/22,"$80,544.68","$78,314.19",Active,N,2021-09-06
4636,$7.10,GPFE54024178836378,4470848190329,244,Discover,02/25,$575.20,"$1,610.34",Active,N,2021-08-28
4636,$425.73,BVLD64991753121061,3502767875877145,020,JCB 16 digit,08/23,$74.38,$79.22,Dormant,Y,2021-09-01
4636,$853.22,KSKD25481825622054,2331151666357055,845,VISA 19 digit,04/23,$6.77,$93.69,Dormant,Y,2021-08-28
4571,$9.24,HTRC77789979973918,6503152781817851,1043,Mastercard,04/26,$3.16,$932.43,Active,Y,2021-09-07
4571,$249.63,RBTU00696730506937,30028273726484,1238,Discover,01/22,"$79,906.59",$3.37,Active,Y,2021-09-08
4571,$0.43,SCSD49624302683502,639072371268,040,JCB 15 digit,11/26,$7.84,"$2,108.22",Active,N,2021-09-01
4571,"$68,058.18",MOMD64043269253805,3536744811766328,969,JCB 15 digit,03/22,$570.40,$46.88,Active,N,2021-09-02
1662,$4.29,QRIR97648561917125,6011349419729418,1995,Diners Club / Carte Blanche,08/27,"$98,727.67","$4,629.45",Closed,Y,2021-09-07
1662,$6.44,LCNW46248490848273,342265501255604,952,Mastercard,06/27,$173.65,$3.29,Closed,Y,2021-08-28
254,"$1,545.71",UISA64562569918654,3549990343808709,079,Maestro,05/25,$5.67,"$4,118.83",Dormant,N,2021-09-11
254,$5.46,KDTF73317209250432,213101257781624,192,Mastercard,10/24,"$11,031.27","$40,110.95",Active,N,2021-08-29
254,"$23,639.19",CRXK79199500511676,180025721707692,729,Maestro,07/24,"$3,682.90",$415.25,Closed,N,2021-09-13
3950,"$68,719.29",BWFW45534964590742,4142829766638111,054,VISA 16 digit,11/26,"$2,304.34","$40,189.42",Active,Y,2021-09-02
3950,"$3,282.75",VIGA74701539836361,6547665676301457,7199,Maestro,07/22,"$5,641.03",$23.41,Closed,Y,2021-09-08
6743,$0.72,TUTA36314819476363,6551791679012769,759,Maestro,12/23,$488.81,"$5,191.81",Closed,Y,2021-09-09
6743,$366.57,DZNB15542290314032,4642117042262316232,106,Discover,10/23,$915.03,$6.09,Closed,N,2021-09-06
3317,"$1,153.72",RISO32671446188659,213149799273055,373,VISA 16 digit,08/24,"$4,107.31",$5.04,Dormant,N,2021-09-15
3317,$3.82,DDEU43793373933464,2562700733983606,886,JCB 16 digit,02/26,"$97,241.98",$69.18,Freezed,Y,2021-09-06
5064,"$27,999.41",IMXP16843322575744,3556855931442031,6928,VISA 16 digit,02/25,"$77,632.13","$85,309.44",Closed,N,2021-09-03
5064,"$7,530.18",YBOK59350231562316,377221898126666,596,JCB 16 digit,12/21,$84.98,"$14,866.51",Active,N,2021-09-14
5064,"$69,395.67",SKIS52609210703837,675994612389,645,Maestro,02/24,$44.43,$45.11,Active,Y,2021-09-07
504,"$87,060.51",TCGK40376658272189,5477479583427066,494,Maestro,02/23,"$9,036.31",$24.90,Closed,N,2021-09-03
504,$835.76,IWGX55416818634223,2224077855899757,092,Diners Club / Carte Blanche,08/22,$94.88,"$1,975.96",Active,Y,2021-08-31
504,$4.51,FDHJ40816499511618,4308951275298672,247,Mastercard,01/22,$29.62,$3.81,Active,Y,2021-08-30
504,"$4,594.93",FVAV79326649667124,3527216470858606,974,VISA 16 digit,10/23,$9.69,"$40,255.30",Dormant,Y,2021-08-31
535,$210.09,GGRU22942249033264,4586737596639,370,Maestro,07/25,$9.51,"$3,448.49",Closed,N,2021-09-13
535,$646.97,JRHB22360971618056,4333400687150492,849,JCB 15 digit,12/21,"$75,766.44","$8,819.05",Active,N,2021-09-11
535,$95.19,HDDR72286748095695,4314801024614,243,American Express,08/22,$39.07,$331.78,Active,Y,2021-09-09
2461,$12.55,ZNUW27062398160890,3591855855495780,582,Mastercard,10/22,"$51,318.21",$9.22,Active,N,2021-09-04
2461,"$4,731.29",FQPJ48871900395028,4055613278746,345,Diners Club / Carte Blanche,04/25,"$2,388.15",$2.22,Closed,Y,2021-09-01
6339,$39.90,IYYF57430760438193,4392333231329,671,Discover,07/26,"$2,019.52",$74.28,Freezed,Y,2021-09-09
6339,$956.89,LHFI15299111819363,30184752224499,964,JCB 16 digit,03/27,"$1,172.62",$3.23,Closed,Y,2021-08-28
6339,$59.58,RLVD19858596963701,4322007272155631437,849,Diners Club / Carte Blanche,02/23,"$33,821.96","$55,409.63",Closed,N,2021-08-29
6339,$36.71,XCAO95141123380713,4179740650433137,987,JCB 16 digit,08/23,$75.45,$497.29,Active,N,2021-09-12
109,"$19,860.45",HNWT52645515215983,676201729974,681,Discover,10/24,"$93,017.67",$62.40,Active,N,2021-09-12
109,$7.66,VMBD32623173362068,503847848358,981,VISA 16 digit,02/26,$194.22,"$26,620.26",Dormant,Y,2021-09-05
3042,"$17,958.22",ZRSQ49313432804176,4258636655342,337,JCB 16 digit,03/22,$4.09,$90.56,Dormant,Y,2021-09-10
3042,"$8,230.53",TSKQ93084414608612,4201673359125259362,605,JCB 15 digit,10/24,$4.77,"$3,116.13",Active,N,2021-09-06
9073,$20.94,HCGM70064319198417,4041369348576950016,525,VISA 16 digit,03/23,$842.39,$83.83,Active,N,2021-08-28
9073,"$72,442.01",NKGR65060688990003,3594682766494042,7578,Discover,10/25,$86.00,"$9,962.61",Closed,N,2021-09-10
9705,$348.85,ULBK61921686166261,4876275429832166,817,Discover,09/26,"$76,123.76","$87,218.84",Closed,N,2021-09-06
