Acc_BBAN,Acc_IBAN,Account_Opened_Date,Balance,Customer_Id,Deposit_Type,Maturity_Amt,Principal_Amt,Status,Tenure
HDMY16112278488695,GB92DWZP04249187682851,4/7/1994,"$17,618.98 ",126182,Fixed Deposit,"$4,246.84 ","$84,936.74 ",Loan against TD,3-years
GBFL55457152930630,GB11SZHJ39041722439742,22-06-2021,"$42,340.71 ",38968,Fixed Deposit,$0.22 ,$4.36 ,Matured,1-year
VRNO11668923924083,GB44MHAI50640042920433,2/4/1977,$4.07 ,38968,Recurring Deposit,$0.13 ,$2.51 ,Matured,3-years
AFVF56556766672420,GB48GAWX11548283715007,4/3/2004,$454.12 ,127424,Fixed Deposit,$0.26 ,$5.28 ,Matured,3-years
UZSQ55349701591322,GB08EIES32440606034450,6/3/1978,$276.18 ,31362,Fixed Deposit,$34.21 ,$684.15 ,Loan against TD,1-year
EYGI95280596472647,GB08FGXP10880697826199,13-12-1972,$7.10 ,31362,Recurring Deposit,$2.05 ,$40.94 ,Loan against TD,3-years
ASID60594065447107,GB52PVFC30400257794244,24-07-2025,$4.22 ,100558,Fixed Deposit,$654.73 ,"$13,094.68 ",Loan against TD,5-years
CJBZ34600974121905,GB30NVAF02713353556026,21-05-2014,"$8,723.41 ",100558,Recurring Deposit,$0.01 ,$0.22 ,Loan against TD,4-years
DPTM92948530280729,GB09KPOQ71452182856747,23-11-2011,$9.84 ,174515,Recurring Deposit,$0.27 ,$5.44 ,Pre-Matured,1-year
LMHB08450965268452,GB23BCON05822266525559,2/11/1995,$9.53 ,174515,Fixed Deposit,$2.66 ,$53.18 ,Pre-Matured,5-years
QFVB75407018002510,GB09AGZD48831512703779,5/11/2017,"$77,838.64 ",94935,Fixed Deposit,"$2,080.44 ","$41,608.88 ",Matured,4-years
NYPK61403855778284,GB33IQTL08092330407068,6/6/1977,"$5,737.97 ",103863,Recurring Deposit,$22.78 ,$455.52 ,Loan against TD,2-years
HOYS08594914893248,GB19BFZK51842043186539,10/1/2005,"$29,637.21 ",103863,Recurring Deposit,$2.92 ,$58.32 ,Matured,5-years
PDRO66638892588762,GB46DGCV37883897472242,9/8/2013,"$93,565.74 ",83615,Recurring Deposit,$89.59 ,"$1,791.88 ",Matured,3-years
KWDK02572327682095,GB86ZAPL82600374353927,21-07-1996,"$82,698.89 ",162457,Fixed Deposit,$383.55 ,"$7,670.99 ",Loan against TD,4-years
YNPD15984755852708,GB49XZYO06640002829105,8/12/1996,$60.17 ,162457,Recurring Deposit,$29.46 ,$589.29 ,Pre-Matured,2-years
LKTB76523643183392,GB15AKWV05314723642082,23-03-2006,$147.56 ,184987,Fixed Deposit,$0.61 ,$12.28 ,Loan against TD,4-years
UPFW30486263450920,GB85DBVK02813093956523,30-07-1996,$40.62 ,184987,Recurring Deposit,$3.45 ,$69.07 ,Matured,5-years
GTJR52470976457950,GB55IICQ95956582950419,3/2/2024,$6.51 ,89598,Recurring Deposit,$29.83 ,$596.59 ,Loan against TD,2-years
QOQA99467762230015,GB90FZSA08882748586403,9/11/1983,"$38,795.58 ",89598,Recurring Deposit,$633.21 ,"$12,664.27 ",Loan against TD,1-year
XFVQ40176549268946,GB44AVUL87889672022121,25-08-2003,"$4,880.66 ",172931,Fixed Deposit,$28.73 ,$574.68 ,Loan against TD,4-years
LYOA21117270446293,GB86XUFA38301152022559,11/8/2000,"$9,300.84 ",172931,Fixed Deposit,$80.85 ,"$1,617.00 ",Pre-Matured,2-years
LRKV06381686070999,GB18DLPX83513830534015,24-08-1992,$52.18 ,137143,Fixed Deposit,"$3,139.43 ","$62,788.62 ",Matured,3-years
BPCR50787861484029,GB22RAYG24076105647189,11/11/2023,"$8,810.78 ",162903,Recurring Deposit,$0.30 ,$5.96 ,Pre-Matured,4-years
IYUT51955059691592,GB97UBHF87908017594393,29-06-1998,"$76,671.75 ",152945,Fixed Deposit,$334.91 ,"$6,698.13 ",Matured,2-years
YIST34703960800379,GB52WYWO82779777191696,4/11/2001,$95.32 ,103879,Fixed Deposit,$0.40 ,$8.06 ,Loan against TD,4-years
CPGL56929007030672,GB18UNWJ19293566757322,4/12/1998,"$91,205.52 ",103879,Fixed Deposit,"$4,273.99 ","$85,479.71 ",Loan against TD,1-year
BEFB53476510660544,GB03ZZHL50276236691395,21-09-1980,"$1,469.57 ",79045,Recurring Deposit,$3.40 ,$67.98 ,Loan against TD,3-years
RGWN15540801317089,GB38MYYV49034755916217,3/10/2007,"$6,246.34 ",79045,Fixed Deposit,$44.48 ,$889.54 ,Loan against TD,4-years
ASNJ65207780854506,GB73ROTX06407503534579,24-03-2011,$4.81 ,32179,Fixed Deposit,$10.91 ,$218.10 ,Matured,1-year
GDAX86783090294747,GB53BPHM46210142521429,20-12-2012,$939.67 ,32179,Recurring Deposit,$0.07 ,$1.42 ,Loan against TD,3-years
DGTW45531951503867,GB77YVRK49864543914767,29-12-1978,$5.43 ,25556,Recurring Deposit,$1.06 ,$21.21 ,Matured,3-years
XFAL21233312761745,GB89QWYB79518548901259,11/4/2017,$66.36 ,118498,Recurring Deposit,$47.62 ,$952.46 ,Loan against TD,1-year
AOQG20430589151134,GB09JHSZ08727436060377,4/11/1995,"$89,728.03 ",57748,Fixed Deposit,$4.80 ,$96.06 ,Loan against TD,2-years
IPIW77558367709143,GB36ZDXG49294798060055,15-07-1988,"$1,794.13 ",57748,Fixed Deposit,$0.43 ,$8.60 ,Pre-Matured,2-years
BPLA11840622112726,GB76GUBG03925979327241,2/10/1978,"$2,084.98 ",119076,Fixed Deposit,$9.72 ,$194.45 ,Matured,1-year
DWMO47017523699964,GB36FQCR45373721404244,30-06-2010,"$56,693.14 ",147995,Recurring Deposit,$1.42 ,$28.36 ,Pre-Matured,1-year
VNMQ27829769396291,GB98IEMD52067698925382,4/11/2014,$940.57 ,147995,Fixed Deposit,$9.90 ,$197.98 ,Pre-Matured,5-years
EVGN91688780702171,GB19PWOT22600084463701,8/5/1998,"$56,301.54 ",177414,Fixed Deposit,$0.07 ,$1.41 ,Pre-Matured,5-years
QDZD94670079422982,GB44BMFI35216605482103,14-05-1995,$717.52 ,177414,Fixed Deposit,$4.82 ,$96.42 ,Matured,3-years
UXNS87983578085065,GB86KRXI09117898112037,28-10-2001,$3.53 ,31789,Recurring Deposit,"$3,499.60 ","$69,991.91 ",Matured,3-years
PFOU19469694657582,GB07KUPK04785488167859,18-09-2025,"$67,541.00 ",177116,Recurring Deposit,$44.14 ,$882.86 ,Matured,5-years
PGFT61858605582794,GB77ZDQU75073289996877,18-07-2014,$8.52 ,177116,Recurring Deposit,"$3,950.82 ","$79,016.37 ",Pre-Matured,2-years
AQOI99928386201430,GB53WWQP10701237783561,7/2/2021,$95.30 ,128573,Fixed Deposit,$593.12 ,"$11,862.47 ",Matured,2-years
INZK10616389033342,GB81XQSD22665571484151,6/4/1978,"$79,280.45 ",128573,Recurring Deposit,$33.42 ,$668.32 ,Pre-Matured,3-years
RQAA10317017736612,GB69UVUP14892783072930,2/6/1995,$63.55 ,118045,Fixed Deposit,$4.46 ,$89.24 ,Pre-Matured,5-years
HUQR66372966812960,GB66QNOS44075736863392,19-08-1989,$268.67 ,13466,Recurring Deposit,$4.88 ,$97.52 ,Loan against TD,2-years
PZCX03461883987850,GB36IDHP11526820292491,11/6/2025,$51.16 ,41781,Recurring Deposit,"$4,025.36 ","$80,507.23 ",Matured,3-years
YUOU06027827364534,GB63LAGO90105142268943,5/7/2019,"$45,184.51 ",183399,Recurring Deposit,$0.38 ,$7.68 ,Pre-Matured,4-years
WKYV20210815200678,GB47LTGP31175060360772,29-11-1973,$590.02 ,183399,Fixed Deposit,$1.13 ,$22.62 ,Loan against TD,3-years
NKTD02805806224167,GB77RSLN84480812546642,21-09-1989,$13.98 ,129627,Recurring Deposit,"$3,620.80 ","$72,415.93 ",Loan against TD,4-years
YDTQ64299762990967,GB34OSQD65909315649391,7/12/2000,$923.57 ,41902,Fixed Deposit,$247.19 ,"$4,943.86 ",Pre-Matured,5-years
MLYW34271150249637,GB15TPTZ65759165080574,7/9/1983,"$9,337.89 ",41902,Recurring Deposit,$20.34 ,$406.77 ,Loan against TD,4-years
CETN34348428039676,GB27QQAO84809854599734,6/10/1980,"$6,040.89 ",190910,Fixed Deposit,$3.19 ,$63.81 ,Matured,5-years
IKZX96317155628762,GB45SFEU48516241205846,18-03-2015,$366.72 ,190910,Fixed Deposit,"$2,021.41 ","$40,428.27 ",Loan against TD,2-years
GLFW50651406504896,GB75PBLC40950477916374,18-04-1989,"$17,500.73 ",102279,Recurring Deposit,"$2,963.00 ","$59,260.00 ",Matured,1-year
CBFA88090753263487,GB62HJWK58851101675113,16-10-1979,$73.34 ,102279,Fixed Deposit,$0.86 ,$17.25 ,Pre-Matured,4-years
VNAY98343629283430,GB46UARA95108046923023,5/6/1987,$5.87 ,98156,Fixed Deposit,$0.25 ,$4.96 ,Pre-Matured,1-year
BCTF06553394348836,GB31KWQR67577367623212,12/3/2007,$8.04 ,98156,Recurring Deposit,$1.25 ,$24.96 ,Loan against TD,4-years
QYQA97884047290236,GB54DKAN36779039793340,18-02-1983,$1.83 ,132127,Recurring Deposit,$30.56 ,$611.24 ,Pre-Matured,5-years
VTVW59849767675012,GB94ICJY80389987414122,27-07-1985,$43.44 ,132127,Recurring Deposit,$2.16 ,$43.28 ,Loan against TD,2-years
PNIK48683627478868,GB26LGKV74884036273956,17-07-1984,$7.27 ,122347,Fixed Deposit,$0.46 ,$9.15 ,Loan against TD,2-years
QTFN62208489849732,GB71SHGS08627262378993,28-09-1994,"$9,514.58 ",122347,Fixed Deposit,"$2,143.15 ","$42,863.02 ",Matured,4-years
IENX71769607145928,GB87JUFO75815680542915,26-02-2021,$624.19 ,188172,Recurring Deposit,$245.13 ,"$4,902.68 ",Matured,4-years
ELBI91953975690928,GB58SRRN45462144372159,23-08-2013,$51.29 ,107865,Fixed Deposit,$5.93 ,$118.54 ,Pre-Matured,5-years
CWOS76367135208048,GB50BOVY88648311804742,8/9/2026,$6.99 ,107865,Recurring Deposit,$3.66 ,$73.13 ,Matured,1-year
PBCT41132222216411,GB03IVCA28043437340423,20-09-2018,$0.56 ,87333,Fixed Deposit,$0.41 ,$8.17 ,Pre-Matured,3-years
RXPE00722732954891,GB18YFOW01480757458165,16-04-1986,"$80,021.59 ",40832,Fixed Deposit,$24.26 ,$485.10 ,Matured,1-year
LJSB08119278645736,GB86YZLB53525284867942,30-09-1998,"$87,382.85 ",40832,Recurring Deposit,$5.00 ,$99.99 ,Matured,5-years
DQRC22913390113365,GB36PZLG77517201976277,10/7/2003,"$37,839.34 ",156778,Recurring Deposit,$6.70 ,$134.02 ,Loan against TD,2-years
OSJW26109136350966,GB84SUCA43862975970516,13-05-1981,"$3,090.20 ",31896,Fixed Deposit,$290.26 ,"$5,805.20 ",Matured,5-years
DMSI54181643463005,GB02OIOZ88694539495794,21-03-1985,$922.57 ,139248,Recurring Deposit,$211.99 ,"$4,239.85 ",Matured,1-year
IXPD95633637900773,GB68UYJD62597938290165,19-02-1970,"$8,984.12 ",139248,Recurring Deposit,$419.45 ,"$8,389.09 ",Matured,4-years
QJLT80618494079148,GB28SHBV67800505527776,9/12/2020,"$57,988.87 ",186407,Fixed Deposit,$241.87 ,"$4,837.36 ",Matured,3-years
BBOW21153211052604,GB33WDWZ32129663568262,15-04-1983,$7.74 ,186407,Recurring Deposit,$2.77 ,$55.43 ,Pre-Matured,1-year
NXBJ57144281552722,GB36AVCF51019776948745,23-02-2019,"$6,342.23 ",189683,Fixed Deposit,$481.59 ,"$9,631.76 ",Loan against TD,1-year
WXGD33614752294522,GB84LQOG59660033607324,19-04-1997,$19.86 ,142764,Fixed Deposit,$46.31 ,$926.25 ,Pre-Matured,2-years
BTIU15918866890175,GB93OLRY16626462172917,15-06-1975,"$11,705.64 ",78813,Fixed Deposit,$0.15 ,$3.06 ,Loan against TD,4-years
RYGD99814980480919,GB18PKVG90496506827719,7/7/2012,$7.02 ,14705,Recurring Deposit,"$3,534.50 ","$70,690.08 ",Loan against TD,5-years
XKVP68603362428118,GB90DGCU76000603627211,18-05-1987,"$40,352.16 ",49509,Fixed Deposit,"$1,478.16 ","$29,563.20 ",Pre-Matured,3-years
RNZW19093541472894,GB69IBUP87834264073468,30-12-1975,"$20,949.88 ",49509,Recurring Deposit,$174.19 ,"$3,483.75 ",Loan against TD,4-years
NOZB73907222962554,GB57DEWL31686345157406,10/10/2004,"$33,845.56 ",74603,Recurring Deposit,$0.08 ,$1.61 ,Pre-Matured,4-years
GJGQ22842154135884,GB68XSWJ12267873553442,21-03-1971,"$36,564.12 ",74603,Recurring Deposit,$0.70 ,$13.95 ,Pre-Matured,5-years
UKPM96186515846937,GB65WNJN13045095386493,30-08-2015,"$66,064.45 ",142059,Fixed Deposit,$427.29 ,"$8,545.70 ",Pre-Matured,1-year
WHSO84779553171587,GB79OTDU72459931254738,14-06-2023,"$88,123.33 ",142059,Fixed Deposit,$139.77 ,"$2,795.43 ",Matured,3-years
QJTV12474309745075,GB75TRUF92677074052587,23-05-2014,"$63,230.87 ",17053,Fixed Deposit,$0.35 ,$7.04 ,Loan against TD,2-years
JRUA66985167283881,GB29FBLG82089381261696,14-04-1981,$4.63 ,170590,Fixed Deposit,"$2,454.15 ","$49,082.96 ",Pre-Matured,2-years
AWIF94450157510619,GB77NTQU53339812117269,15-06-2024,$2.33 ,99964,Recurring Deposit,$4.35 ,$86.92 ,Matured,4-years
TGTG56857515877843,GB25QFPK90859038242733,8/6/2008,$79.16 ,19607,Recurring Deposit,$0.29 ,$5.77 ,Matured,5-years
BKEC66508174332255,GB30MPAX11593270003121,28-08-2002,$30.89 ,19607,Fixed Deposit,$1.06 ,$21.26 ,Pre-Matured,5-years
HECK77349707948665,GB26NFUH99958604428937,10/9/1994,$13.86 ,63366,Fixed Deposit,$334.63 ,"$6,692.51 ",Pre-Matured,4-years
PTPX25429815075246,GB84PRBA37554859122735,4/3/1978,$4.19 ,136027,Recurring Deposit,$361.06 ,"$7,221.14 ",Pre-Matured,2-years
VYFL37329384687600,GB55AMLS42516009483902,5/12/1992,$53.72 ,136027,Recurring Deposit,$1.89 ,$37.82 ,Pre-Matured,3-years
GFED82029975504046,GB76OCHN79756700234369,21-09-2019,"$27,818.61 ",124567,Recurring Deposit,$276.86 ,"$5,537.24 ",Pre-Matured,1-year
JBLB78580525550261,GB21ZOUM18161405264271,31-08-2001,$68.29 ,124567,Recurring Deposit,$0.16 ,$3.16 ,Pre-Matured,5-years
GCEE88724004786771,GB07TIBG53770124205077,17-11-1990,$7.96 ,131735,Fixed Deposit,$0.05 ,$0.97 ,Matured,4-years
NBNG04488681793904,GB92GDBH31210411951084,24-09-2011,$643.99 ,131735,Fixed Deposit,"$3,182.71 ","$63,654.22 ",Matured,5-years
EWRD30640444600695,GB50CVYM29429375083045,4/7/2009,$2.23 ,129555,Recurring Deposit,$0.49 ,$9.80 ,Matured,3-years
KEZH96837725527198,GB43GLSW47702297937089,3/8/2013,"$42,394.26 ",129555,Recurring Deposit,"$3,513.40 ","$70,267.92 ",Loan against TD,2-years
WTES03951870678939,GB73DQWG74079233519849,8/12/1977,$69.87 ,60722,Fixed Deposit,$372.08 ,"$7,441.57 ",Pre-Matured,1-year
IPYT62777174988523,GB29JRFG46218793774225,3/7/2010,"$6,042.62 ",60722,Fixed Deposit,$9.88 ,$197.50 ,Pre-Matured,5-years
CIQN67643816698112,GB88CWMX81685490393847,29-01-1983,$501.28 ,85281,Recurring Deposit,$10.44 ,$208.70 ,Loan against TD,5-years
DRXD52220926634787,GB70HDXQ73322906782368,24-03-1988,$6.54 ,85281,Recurring Deposit,$4.37 ,$87.48 ,Matured,3-years
CHMR62027920920676,GB05TTWH73428718023351,11/5/1991,$875.35 ,75822,Recurring Deposit,$117.51 ,"$2,350.21 ",Matured,2-years
FSPT24890260343791,GB38ADTM59122698891218,10/4/1993,$88.75 ,137920,Fixed Deposit,$0.48 ,$9.52 ,Loan against TD,4-years
LKFC68268489051261,GB12ZZYE10357049173373,6/7/2026,$60.62 ,137920,Recurring Deposit,$44.14 ,$882.77 ,Loan against TD,3-years
PZHR71147177506961,GB73MADZ48697071188259,1/9/1982,"$2,119.12 ",150814,Fixed Deposit,"$4,451.86 ","$89,037.15 ",Loan against TD,3-years
WWVB84578928181564,GB17NKVD17128386091523,19-06-2020,"$1,964.32 ",95638,Fixed Deposit,$101.54 ,"$2,030.84 ",Loan against TD,2-years
WBFU98525370412787,GB85YLFV39722457638532,3/5/2005,"$2,797.13 ",113520,Recurring Deposit,$0.41 ,$8.14 ,Pre-Matured,1-year
VQZB37368396433686,GB88NVGW83318196778400,7/3/2025,$22.69 ,135755,Recurring Deposit,$4.58 ,$91.64 ,Loan against TD,1-year
JFMN63403595789056,GB95QGHG86737219220407,16-12-2018,"$4,838.57 ",96167,Fixed Deposit,$479.41 ,"$9,588.22 ",Matured,3-years
STGG88886571448848,GB72PLOZ90369114700725,6/5/1973,"$52,711.65 ",100580,Fixed Deposit,$0.39 ,$7.87 ,Loan against TD,2-years
NUGL15289804106718,GB28PYLM71493010560903,1/11/1981,$79.56 ,100580,Recurring Deposit,$0.17 ,$3.37 ,Loan against TD,4-years
NZUO55193594796298,GB71NRQE83100834135008,21-06-1991,"$2,924.76 ",39363,Recurring Deposit,$11.61 ,$232.29 ,Pre-Matured,5-years
SYWH44156574632082,GB31AUEC62453353293525,12/8/1992,$823.05 ,186869,Fixed Deposit,$133.31 ,"$2,666.11 ",Pre-Matured,2-years
TLFX26448339167632,GB19LVQY63078723796885,17-03-1975,$985.15 ,55761,Fixed Deposit,"$3,823.46 ","$76,469.21 ",Matured,2-years
JYSR52536013767564,GB13MTWX44190419898935,26-09-1983,"$66,968.87 ",28100,Recurring Deposit,$201.86 ,"$4,037.18 ",Loan against TD,5-years
JGUR82857171088715,GB50TPIC17820636897737,13-10-1991,$29.47 ,68350,Fixed Deposit,$436.49 ,"$8,729.81 ",Matured,2-years
OFQC20366022313563,GB95VTJN24170928170894,20-08-1980,"$13,130.78 ",68350,Fixed Deposit,$365.95 ,"$7,318.90 ",Pre-Matured,4-years
FQWU74067777918059,GB60JXMD80840131762840,13-12-2022,"$9,679.27 ",47296,Fixed Deposit,$0.22 ,$4.34 ,Matured,4-years
HUCL96651366162034,GB11YGGD44002964474038,20-04-2018,$86.52 ,189815,Recurring Deposit,$278.61 ,"$5,572.26 ",Loan against TD,1-year
RFXA39219807070757,GB86ZMFP15537479856541,3/8/1984,"$7,517.74 ",189815,Fixed Deposit,"$4,293.09 ","$85,861.81 ",Loan against TD,4-years
KDTT06419267302660,GB41QBKE94645271959395,15-05-2005,$826.83 ,52737,Fixed Deposit,$106.95 ,"$2,139.02 ",Pre-Matured,5-years
MXGG89603804065316,GB07TCRP91427787589338,24-07-2014,"$41,478.76 ",52737,Fixed Deposit,$3.73 ,$74.51 ,Matured,4-years
KEUY35967044000286,GB03TCXT16111289124297,17-12-2013,"$5,211.49 ",87391,Recurring Deposit,"$2,144.16 ","$42,883.22 ",Loan against TD,2-years
UYKG62593382347033,GB64ABED90410773661300,23-04-2008,"$73,776.53 ",77458,Fixed Deposit,$3.50 ,$70.08 ,Matured,3-years
XPOO51634279410332,GB04HGCO65588932197522,20-09-2015,"$91,300.12 ",77458,Fixed Deposit,$0.11 ,$2.18 ,Matured,4-years
