Loan ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Customer Id,Direct_debit_status,Acc_IBAN,Acc_BBAN
ccc6dadf-7530-4ca6-a679-a228ae478b5d,Fully Paid,99999999,Short Term,746,1749748,10+ years,Home Mortgage,Debt Consolidation,19247.19,20,32,17,0,224390,295240,0,0,98452,No,GB93ZTZL78033671719327,IMWG52363026364731
dcf093ca-d26b-4853-9679-aa0c7ebe05a7,Fully Paid,107404,Short Term,,,,Home Mortgage,other,19238.07,43.7,,5,0,28956,58014,0,0,4701,Yes,GB21TQKX83213217616445,BODK06605115635230
b762002d-4f8b-4eb0-a1c7-b1a9874fd997,Fully Paid,99999999,Short Term,737,1501912,6 years,Rent,Business Loan,31039.54,18,,8,0,229349,469172,0,0,94131,No,GB59AWZY81588247937403,YBQY55683590877731
99826faa-9c45-438e-9ee5-0d7523cffc12,Fully Paid,334620,Short Term,729,1348620,2 years,Rent,Debt Consolidation,16913.99,20,,16,0,313177,539616,0,0,187520,Yes,GB34AZVX85481663620760,BPDD68342332751217
feee8a68-5ddc-41a6-9d10-d5e3f2e4f7c6,Charged Off,130174,Short Term,733,524609,< 1 year,Rent,Debt Consolidation,9311.71,15.4,,7,1,130701,268818,1,0,155724,Yes,GB93CLNB09883828316846,YUOJ32713902961275
af76ed30-e663-4125-8749-3ff5e509cb37,Fully Paid,333564,Long Term,725,1248338,10+ years,Home Mortgage,Debt Consolidation,18205.04,14.6,,18,0,300979,515526,0,0,16504,No,GB59VANX75520073000864,YLTG82894537206608
83ad0662-ef2d-4732-99ff-e9cdab4eb276,Fully Paid,109318,Long Term,,,10+ years,Home Mortgage,Buy a Car,15524.9,22.7,,9,0,77121,920524,0,0,17419,Yes,GB22ZJJA23167432071221,GHEV03779015009831
677c8cd8-efef-402a-8464-268f1d86fc5a,Fully Paid,125796,Short Term,745,1261068,5 years,Home Mortgage,Debt Consolidation,20597.33,24.5,,13,0,684817,997414,0,0,50264,No,GB38IWUZ04037685313638,DPZR54134836881701
01258b9b-bcac-4935-8fd5-cff308b65943,Fully Paid,99999999,Short Term,743,752039,4 years,Home Mortgage,Debt Consolidation,17046.23,14.1,,10,0,213484,478126,0,0,59105,No,GB68VYTK58117054677428,UVBK41233613278617
d6946f18-5e64-41e6-ba92-ebff21fc5cee,Fully Paid,161172,Short Term,720,796499,8 years,Home Mortgage,Debt Consolidation,3404.99,22.6,,6,1,114095,170038,0,0,110142,No,GB57QDPG51229941839929,OLOG99227451271871
03e3a77a-fa93-489c-b7b3-c06196ba3bce,Charged Off,259842,Short Term,,,8 years,Home Mortgage,Debt Consolidation,11792.73,20.6,34,9,0,401584,708818,0,0,52198,Yes,GB30GYKU79110020346534,UNMJ07678288347254
f7db4043-3607-46fe-a421-edf3281eed7c,Fully Paid,449108,Short Term,718,1454507,8 years,Home Mortgage,Debt Consolidation,13090.43,28.8,21,14,0,193990,458414,0,0,70940,No,GB15WBAC78952686377484,SOJX09274693790815
21d019a9-dc53-40e9-9c88-1ec3378283fe,Charged Off,688468,Long Term,682,1494616,< 1 year,Rent,Debt Consolidation,14697.07,16.6,50,8,0,343995,843854,0,0,195981,No,GB45UBNU75376089296238,YIMV57820148263366
38025238-198c-425e-b6c2-1e3f38b4e46d,Fully Paid,210166,Short Term,,,2 years,Rent,Debt Consolidation,13084.54,14,20,10,0,314336,483362,0,0,155910,No,GB72XGVV55376769680505,XWTE12055560077700
dc17c812-a350-459f-84dd-906fd42a5ab2,Fully Paid,327008,Long Term,,,4 years,Home Mortgage,Debt Consolidation,15419.45,16.7,24,13,0,268090,529738,0,0,189330,No,GB86MFQV47684204567522,THLD62802428038485
0c84b81a-e5a9-4a92-8dc8-fb179add03a4,Charged Off,288948,Short Term,7120,537472,10+ years,Rent,Debt Consolidation,5777.9,14.8,,4,0,132468,164406,0,0,151385,Yes,GB48NMEJ81519440604549,WCQP01013596090747
93d2f093-833c-42a3-8879-05ab3bd73951,Fully Paid,311762,Long Term,680,2211657,4 years,Home Mortgage,Debt Consolidation,44601.74,14.5,15,11,0,213921,509652,0,0,103232,No,GB17UYJZ31621683439738,JMQS50752917650044
f1586bd6-bda7-442c-af83-aabc8d079bba,Fully Paid,266112,Short Term,750,919296,1 year,Rent,Debt Consolidation,12946.79,21.6,,9,0,266266,485518,0,0,118515,Yes,GB40SJKB08845828450840,SBBP42160731783966
2e30d6ea-3157-4537-99d9-f580eeaae1d5,Fully Paid,129712,Short Term,723,1465698,10+ years,Own Home,Debt Consolidation,18199.15,19.4,6,34,1,45106,163218,0,0,49823,Yes,GB20RYKT00311366805643,TWUA70559892573359
f6f70cfd-5100-4e63-b3c5-fa602ed29e95,Fully Paid,287980,Short Term,737,1013954,< 1 year,Home Mortgage,Debt Consolidation,16138.6,18.6,13,11,0,223117,489302,0,0,132904,Yes,GB54IYPG02823054394724,TSQU46970152175963
17d0f2ec-c03f-4885-91a8-aa90830372b5,Fully Paid,439428,Short Term,710,1518024,8 years,Rent,Debt Consolidation,20923.56,17.8,,11,0,209304,265716,0,0,91122,Yes,GB83NJZN85666561868717,NSGW87314189182245
1ee5e9de-290c-45f0-8ef2-445c98afc6f6,Charged Off,456808,Long Term,598,1096167,10+ years,Own Home,Debt Consolidation,14341.39,14.1,,8,0,161861,278058,0,0,10501,No,GB75NEKQ69076945880278,NQPL35077495822056
56171b60-824e-46cf-8e39-3304427e84f4,Fully Paid,518012,Long Term,719,1193010,10+ years,Own Home,Debt Consolidation,22667.38,20.9,,11,0,452770,1080926,0,0,117934,No,GB03NJBF17936169601781,XDRQ32567997140006
0daecc08-0354-4753-b282-52124b2420df,Charged Off,219692,Long Term,6610,527839,10+ years,Rent,Debt Consolidation,14207.63,17,48,9,0,254277,379918,0,0,167177,Yes,GB61USMH38553247237284,OQUB12065078412886
b41e7075-f499-4311-8dfb-cbf23b045150,Charged Off,214874,Short Term,,,2 years,Rent,Debt Consolidation,20322.78,15.6,69,8,0,285589,402776,0,0,80531,Yes,GB16UYAQ22660181062947,KNCJ73227574658955
4ead58f0-0383-441a-b93d-a00c6baa74aa,Charged Off,374176,Long Term,652,1239199,10+ years,Home Mortgage,other,5163.25,36.6,42,10,0,126350,415602,0,0,111940,No,GB33TORH20010886416362,HNVE98686940617368
72322924-6242-4503-871f-501870761c91,Fully Paid,99999999,Long Term,730,2509520,10+ years,Home Mortgage,Debt Consolidation,34714.9,40.8,35,12,0,733324,1035496,0,0,188091,Yes,GB07JOED97753314205381,GLQL85436969923258
a4b4920d-48a4-424f-8386-1959f2f9ae86,Charged Off,176198,Short Term,736,1902090,10+ years,Home Mortgage,Debt Consolidation,28372.89,15.4,7,9,0,206872,620554,0,0,151164,Yes,GB92XKVW44256919979561,LDNK26635646392115
a5ada080-a058-4ad2-8953-002b7ec1ae31,Charged Off,78012,Short Term,7380,728726,4 years,Rent,major_purchase,10135.36,11.4,,8,0,104633,199936,0,0,22392,No,GB35IPJL39634328904633,JXBR51616350171604
f8dcf551-d7b6-4378-8a29-caa1b0a42e75,Fully Paid,669372,Short Term,725,2158210,7 years,Home Mortgage,Debt Consolidation,34711.29,9.2,,17,0,496052,638176,0,0,72204,No,GB64CEKQ41801886886588,RDZC96411031718891
4bcf4e06-60c7-4849-8c70-ada382fef5bb,Fully Paid,130922,Short Term,747,2261304,2 years,Rent,Debt Consolidation,9761.25,16.1,30,6,0,110428,235488,0,0,84350,No,GB43CYFG45914189915935,ICYJ55385533273013
7e2870c0-998d-4d35-ab8f-df77d30a0b8a,Fully Paid,174548,Short Term,721,1620681,6 years,Rent,Take a Trip,30522.74,15,27,7,0,40489,128832,0,0,12464,Yes,GB11DFBY48077119711232,WDIH25019837437943
965909d3-09a6-410f-a30f-f25123010b3e,Charged Off,290224,Long Term,644,837045,7 years,Home Mortgage,Debt Consolidation,8230.99,18.3,10,11,0,176624,370480,0,0,148311,Yes,GB26VHTA70148926180214,DQYA22691527749998
de86c495-4052-43e9-b773-0b6597c41347,Fully Paid,718784,Long Term,672,1648915,10+ years,Home Mortgage,Debt Consolidation,15664.74,12,5,10,0,252016,489610,0,0,56266,No,GB70OLCV83817238969031,EMAX27114865607865
6aca03a8-c5b2-4010-a236-50cb785cc64c,Fully Paid,152548,Short Term,,,7 years,Home Mortgage,Debt Consolidation,19164.54,12.1,26,22,0,120916,946000,0,0,51592,Yes,GB14ZWKV16532398675975,FKTI39112389060336
a80790da-0712-4c82-ab49-753c7878c5a0,Fully Paid,602008,Long Term,741,2896721,2 years,Own Home,Debt Consolidation,48278.62,19.6,32,17,0,5246261,11887678,0,0,90951,Yes,GB21GETA25366120680453,UDCV67340994005315
277db7a2-1644-460b-aa8b-36951e5514f2,Fully Paid,171248,Short Term,747,3035725,10+ years,Home Mortgage,Debt Consolidation,42500.15,31.5,17,11,0,25460,151140,0,0,17748,No,GB05FDAA28595845422158,RBTF29613128953422
1704367e-1d71-4551-8d33-49aa15cab4b1,Charged Off,523908,Long Term,7370,1028774,6 years,Home Mortgage,Debt Consolidation,22632.99,19.3,,5,0,474658,742720,0,0,1713,No,GB48YFIW14861722944791,SPFE86556567731644
426da1a8-2d65-4033-a00b-9dc40729ebda,Fully Paid,323466,Long Term,699,2048618,6 years,Home Mortgage,Debt Consolidation,27997.64,14,72,19,1,389994,743952,1,0,9236,No,GB70RZKU05874468739193,WNFU23903196971880
8196d772-1651-4a42-85a1-f92b51c415bb,Charged Off,751520,Long Term,,,6 years,Home Mortgage,Debt Consolidation,27204.01,20.5,48,19,0,483968,594880,0,0,39401,Yes,GB14KJAY83629441597159,ADJO93060032121644
71e2f337-7a44-43cd-9a26-36e74c0cc040,Fully Paid,289388,Short Term,,,7 years,Home Mortgage,Debt Consolidation,9758.4,16,,12,0,439033,1735030,0,0,177817,No,GB77VFUC73091930621463,UANZ96450338323682
3e58847f-ecdf-4945-b7b7-d4141c35ab52,Fully Paid,144562,Short Term,751,1060922,9 years,Home Mortgage,Debt Consolidation,19750.88,21.8,,7,0,314773,1035408,0,0,190149,Yes,GB50KLSX73604449630548,HMBQ81864261047114
5463544a-4d55-402e-bdde-48a27644dfb2,Fully Paid,211222,Short Term,694,947625,4 years,Rent,Debt Consolidation,8923.35,18,65,9,1,93081,397694,1,0,8289,No,GB64FGVC38593059479884,RYYW13581330643385
67d1e3af-f5f1-41a0-8051-ebe452c3502b,Fully Paid,162360,Short Term,720,486875,10+ years,Rent,Debt Consolidation,8560.83,15.1,46,16,0,129504,434654,0,0,189189,Yes,GB05SMHT20510208493388,BRHW15351280941551
ce3eb521-f562-4183-b307-276cd39f65f7,Fully Paid,99999999,Short Term,699,2770162,5 years,Home Mortgage,Debt Consolidation,48708.4,25.6,25,13,0,348802,449262,0,0,102760,No,GB22WYOC97717637062415,SRFF18681391743050
fd50c3d1-8d6d-410e-ba58-d3f1bcae6409,Fully Paid,311058,Long Term,675,1343167,,Home Mortgage,Debt Consolidation,21378.8,31.4,17,11,0,247912,541596,0,0,186576,No,GB59ONTO07135433401301,GBXR98444914289278
3924da4c-a6f7-4852-8fa4-c0ed8a6e903d,Fully Paid,767536,Long Term,724,6628720,10+ years,Home Mortgage,Debt Consolidation,53747.96,29.5,,13,0,1426425,2510112,0,0,12912,Yes,GB85CDQO29835350241416,XROG80030887875147
f41d9a21-d501-46d2-93c7-3c5b3b6bd3b5,Charged Off,133034,Short Term,,,5 years,Own Home,other,30520.46,13.8,,23,0,113278,1561406,0,0,52992,Yes,GB56SWOH34669468900606,HYSV16491041583583
38c7f29b-fc9d-4674-be19-e0a4f1a9afc6,Fully Paid,389884,Short Term,657,4776125,1 year,Home Mortgage,Debt Consolidation,42985.22,21.5,4,14,1,237500,562386,1,0,93849,No,GB27NDNA20274722972387,ZWMQ41917601218611
11653c24-aa0a-4435-9ec7-4720d2bf4da8,Fully Paid,163966,Short Term,678,719910,9 years,Home Mortgage,Home Improvements,12778.26,6.4,,9,1,66025,138248,0,1,125053,No,GB63XHGL32457917913797,MDWF62402506240590
333ea452-cc2d-41a5-9970-a011ea10d148,Fully Paid,433312,Short Term,736,1010401,7 years,Home Mortgage,Debt Consolidation,22228.86,16.1,11,19,0,201780,613228,0,0,77827,No,GB13AIVQ93309436047264,XISJ60457665220685
9d2b2b18-c11e-4c01-9608-542d87f200d3,Fully Paid,99999999,Short Term,737,2015159,6 years,Home Mortgage,Debt Consolidation,21494.89,10.5,54,16,0,321214,478060,0,0,23730,No,GB17DJRC95282271402250,IWKQ54297405815609
0e4489e9-f9c0-4a8b-9e1b-818fcdfa5956,Fully Paid,99999999,Short Term,748,1875680,5 years,Rent,other,9393.98,13,,14,0,232674,1353858,0,0,2184,Yes,GB45XORU85850420647361,QYBW14201539700706
b97f1dad-69b8-4971-ae26-0a4e774239a8,Fully Paid,89320,Short Term,748,1832075,< 1 year,Home Mortgage,Other,13312.92,19,,6,0,127946,216260,0,0,174057,Yes,GB56LTZW81660882235039,WART39117040561800
5bc5f041-9d56-4ed0-af6a-37d12daa5c49,Fully Paid,392282,Long Term,688,974662,8 years,Home Mortgage,Debt Consolidation,10396.42,12,10,11,0,35663,242946,0,0,199660,No,GB90QISN64921503802992,WRGD56302446369721
747a1799-0cee-4e91-9b8c-1fcfe1d23906,Fully Paid,444620,Short Term,,,2 years,Home Mortgage,Home Improvements,15292.34,11.8,,9,0,373350,522742,0,0,55735,No,GB79KHIM99506849516699,NMSL28583108661788
37b7adb4-8f90-4ddf-813c-813e34dda68a,Fully Paid,262988,Short Term,743,1340279,,Rent,Debt Consolidation,9348.38,28.2,35,9,0,499548,681296,0,0,92350,No,GB79UDNV17885674749806,BPXZ26016767842537
1e59ad24-1924-46bb-ab5f-d507d795fa5d,Fully Paid,498586,Long Term,666,1351679,3 years,Rent,Other,32214.88,12.2,,15,0,205637,433686,0,0,144265,No,GB53YWSG72488773677699,WABC91726796863321
8873a073-d23d-49a9-9b44-381e04fb118b,Fully Paid,378334,Short Term,714,2120514,2 years,Rent,Debt Consolidation,35695.3,17,24,12,0,75335,413402,0,0,3236,Yes,GB31KTHI16801504406229,LMMW89806651881361
cf95346d-6bc9-4b10-8383-b42342da886c,Fully Paid,99999999,Short Term,734,1355802,3 years,Rent,Debt Consolidation,15365.68,44.5,31,8,0,25441,1841796,0,0,22714,No,GB17ALOP11054233250254,GZOA02765272269774
df9ae7ca-d33b-4abc-b2ec-c6455f7a5cc6,Charged Off,194942,Short Term,742,1212238,1 year,Rent,Debt Consolidation,25254.99,27.4,19,13,1,176396,339834,1,0,183473,No,GB03QNMO04965762000245,APVU70126614134346
25dc64d4-1fbb-4f93-9f2b-6d60fb75eea3,Fully Paid,731566,Short Term,705,1377443,10+ years,Home Mortgage,Debt Consolidation,13429.96,20.4,65,18,0,563008,1070432,0,0,80386,Yes,GB84LEWE81448969277371,VHJO73755201544319
374bba0a-c0fe-46bf-a93f-b7aa70333d92,Fully Paid,479358,Short Term,,,10+ years,Rent,Debt Consolidation,22659.59,22.4,41,13,0,807462,1391302,0,0,97360,Yes,GB43UDBL66939775082496,PANQ80416695474780
bbde2bed-dc43-409a-a4e9-06e3cfd3e2cd,Fully Paid,336908,Short Term,,,10+ years,Rent,Debt Consolidation,6652.47,29.1,,8,0,277419,1119250,0,0,142560,No,GB28TQXG55369188365070,TIQH89390026852422
97a3b948-4883-442e-a362-1a0751bf6d9e,Fully Paid,270116,Short Term,,,2 years,Home Mortgage,Debt Consolidation,15649.92,31.3,,22,0,648850,3996322,0,0,149689,No,GB25KSFE91617392126239,SIZR22479973110580
9270a0f9-c873-4cff-b8d6-63b5377a0340,Fully Paid,156772,Short Term,748,1411966,6 years,Home Mortgage,Home Improvements,22591.38,18,73,10,0,38456,251548,0,0,197732,Yes,GB94VIVL46050627944683,EDRS42872805552730
268d33e0-76cc-42b4-9e18-8c3e9f9a34c6,Fully Paid,306548,Short Term,,,6 years,Rent,Debt Consolidation,11157.37,17.5,,10,0,200127,387508,0,0,89383,No,GB14LIWT43433423304429,YGBW94038535907280
ed6b4f20-6897-44b9-b36c-834f5f371853,Fully Paid,432080,Short Term,,,10+ years,Rent,Debt Consolidation,35360.14,17.9,24,22,0,160550,685982,0,0,199337,No,GB45NGIL19657523668656,WPDQ38627383715344
4cfa482a-57c2-4856-ab26-a8af32adaa3f,Fully Paid,158818,Short Term,731,315666,,Own Home,Debt Consolidation,8522.83,31.3,60,13,2,260072,756646,0,2,159864,Yes,GB68GXIX02254981908283,UVED79701958095429
87260afa-a95d-4507-9db0-c8eeb5db5aef,Charged Off,78738,Short Term,6240,536370,2 years,Rent,other,14034.92,10.5,15,14,0,138586,266112,0,0,157209,Yes,GB32ZSTT15878292136598,OXVS05640295796850
10da47ac-d3ce-461c-bf95-1b9d0cac176f,Fully Paid,453464,Short Term,712,895147,3 years,Rent,Debt Consolidation,17007.85,14.2,77,12,1,137845,222926,1,0,39681,No,GB50QMAY11296117030104,FYSP69154121728052
65eff4d6-e64b-405f-abe9-b8e0c273397c,Fully Paid,595672,Short Term,685,1305927,10+ years,Rent,Debt Consolidation,13603.43,25.9,,8,0,108148,129624,0,0,114502,Yes,GB85MKAN30283170240727,QOEF60920222874266
9239bc63-b054-475a-bb83-b631e62685b4,Fully Paid,166672,Short Term,705,1048667,10+ years,Home Mortgage,Debt Consolidation,16166.91,16,18,10,0,167656,267014,0,0,146891,No,GB25YCCL80773024076348,XNHH87271078234242
29cf8611-c24d-4ad2-a3b5-2dadd9b7850f,Fully Paid,132792,Short Term,751,668990,4 years,Rent,other,6132.25,14.7,,5,0,61199,214742,0,0,1097,Yes,GB45QEVG02152869397392,PWKZ72264050157317
e67fc85b-55e8-4961-9199-8ae4610b2e24,Charged Off,119504,Short Term,745,938315,2 years,Home Mortgage,Buy House,11807.17,13,9,11,0,32300,104170,0,0,71667,Yes,GB50KAMZ13365937506844,XLCM19284640951295
5cfed06e-4876-4098-b368-984806f1cee1,Fully Paid,33022,Short Term,723,1673007,7 years,Rent,Debt Consolidation,25234.47,23.3,80,13,0,125609,323928,0,0,42820,Yes,GB70FRUR17996593908640,ZETS27169466739773
9041f59a-e02d-40e1-a6ef-60dce86ca5c9,Fully Paid,448976,Short Term,742,4071396,10+ years,Home Mortgage,Debt Consolidation,10348.16,19.7,,7,0,486001,1253340,0,0,129502,Yes,GB53XZDX35693928116881,RBWT79401119278561
9cca9017-f068-40d9-bc1f-b3628215b25c,Fully Paid,280588,Short Term,717,671080,3 years,Rent,Debt Consolidation,17447.89,10,70,10,1,168169,470360,1,0,90893,No,GB21XJUA46002450474802,VGRN10648830416250
15d95766-83b9-4218-aea1-b7d8bb023d43,Charged Off,556336,Long Term,714,1402960,10+ years,Home Mortgage,Debt Consolidation,19524.4,19.5,38,5,0,317338,389246,0,0,49438,Yes,GB55HFCM76560018738501,YGEW05545502536245
9c4fc474-8aa1-4a3b-9d18-818bb81c6b0c,Fully Paid,541310,Short Term,722,1682982,1 year,Home Mortgage,Debt Consolidation,52733.36,17.9,35,13,0,356288,619432,0,0,168752,Yes,GB03DJPO00471840524146,RZEE25609399545993
206c7b26-db44-4c00-a637-3fcb931b3138,Fully Paid,311872,Long Term,680,1063810,6 years,Home Mortgage,Debt Consolidation,28191.06,12.2,,10,0,391723,591338,0,0,59093,No,GB63HEPZ12422719963372,CEPL26627586355172
76fa89b9-e6a8-49af-afa1-8151315aba8e,Fully Paid,340604,Long Term,618,928701,10+ years,Home Mortgage,Debt Consolidation,21205.52,14.4,,5,0,291137,368808,0,0,159155,No,GB06NUYM22835097818061,HAVI31175454720894
296ccd77-325c-4c02-a2ce-d7aff95ff7a5,Charged Off,765160,Long Term,719,2643242,7 years,Home Mortgage,Debt Consolidation,34582.47,20.5,47,19,0,249755,489302,0,0,189954,Yes,GB94GQQP13605095535878,XMXQ15856480005241
856c1ab9-2294-43a2-8121-efae82cd595c,Charged Off,109802,Short Term,745,474069,< 1 year,Rent,Debt Consolidation,1497.39,11,,2,0,91048,186604,0,0,187667,Yes,GB34ZLPO60749909718755,OSVX13417562897521
fbeb20b4-19e7-407c-8bb7-a6cb41cca2cb,Charged Off,349756,Long Term,737,2491945,3 years,Rent,Debt Consolidation,23258.28,21.5,,7,0,270332,660396,0,0,136224,No,GB84GSAB87483994586636,CJZA79300683739750
cce5ecac-8760-4a74-a326-e11b56611bac,Fully Paid,545886,Short Term,718,1565182,7 years,Rent,Debt Consolidation,41477,15,6,16,0,80465,296714,0,0,38929,No,GB26WZMO51058527083986,TMRP06615871428586
