Cust_ID,KYC_Status,Passport_Number,SSN,State_ID,Last_KYC_Dt,Cust_Risk_Category,Next_KYC_Dt
5073,Active,Z4-1995220R,571-79-6594,SD,2021-05-14,Prohibited,2021-05-14
2334,Active,q7-0753038g,841-40-9392,SC,2021-03-07,Medium,2021-03-07
4753,Active,B0-8227126l,551-23-3691,AK,2021-01-20,Prohibited,2021-01-20
8171,Lapsed,d9-8903256t,681-03-7790,WV,2021-05-06,Prohibited,2021-05-06
4264,Lapsed,Z9-5473768b,119-90-3375,SD,2021-05-06,Prohibited,2021-05-06
6507,Active,e8-5524622r,457-38-9665,FL,2021-02-17,High,2021-02-17
9806,Lapsed,v1-1227224I,312-38-0118,CA,2021-04-01,Prohibited,2021-04-01
3950,Active,q8-4556796n,721-79-5751,IN,2021-04-14,Prohibited,2021-04-14
7568,Active,Q0-8168317V,277-86-1496,DC,2021-01-27,Medium,2021-01-27
3310,Lapsed,U6-7111820K,016-77-0410,ME,2021-04-02,Medium,2021-04-02
2995,Lapsed,J2-6267465O,480-07-2448,AZ,2020-11-30,Low,2020-11-30
8136,Lapsed,f6-442556w,088-08-4208,VT,2021-07-12,High,2021-07-12
7471,Lapsed,J8-5939283C,319-94-1212,ND,2021-04-14,High,2021-04-14
618,Lapsed,J7-862722o,065-11-3670,SD,2021-04-09,High,2021-04-09
6718,Lapsed,q3-4838845c,828-76-9990,MS,2020-10-05,Low,2020-10-05
3317,Active,c5-462903G,036-81-5127,PA,2021-04-28,Medium,2021-04-28
8628,Active,a4-3743160N,342-78-9968,PA,2020-10-30,High,2020-10-30
4791,Lapsed,R6-802690B,475-04-8716,NH,2020-12-13,Medium,2020-12-13
6968,Active,G6-3461691x,849-87-9960,MT,2020-10-29,Prohibited,2020-10-29
1699,Lapsed,Q2-1535802K,752-63-6622,MD,2021-04-28,High,2021-04-28
5064,Active,G6-453687z,297-79-0425,IN,2021-05-06,Prohibited,2021-05-06
4428,Lapsed,Y9-9073874K,245-46-5741,AK,2021-03-26,Low,2021-03-26
2671,Active,o4-2274045n,849-42-2797,RI,2021-06-15,Low,2021-06-15
2468,Active,O3-666715f,430-25-6473,UT,2021-04-06,Low,2021-04-06
3429,Lapsed,K9-440452j,054-04-4392,IN,2021-06-10,Low,2021-06-10
5035,Lapsed,R7-6193342t,789-78-8912,SD,2021-03-21,Medium,2021-03-21
2136,Lapsed,L7-5395713f,219-39-2486,RI,2021-01-28,Medium,2021-01-28
2684,Lapsed,t1-573725Y,611-02-6586,PA,2020-12-01,Low,2020-12-01
5686,Active,B1-0194738V,839-33-4061,NY,2020-10-17,High,2020-10-17
3426,Lapsed,H3-7863286F,020-06-2913,WV,2021-05-05,Low,2021-05-05
9452,Lapsed,e2-0877745k,768-58-9753,FL,2021-04-04,Prohibited,2021-04-04
9715,Lapsed,X5-2196763O,153-29-5380,AR,2020-09-24,High,2020-09-24
2608,Active,d9-3765574D,305-84-6412,IA,2021-08-04,Medium,2021-08-04
982,Active,X4-8462582q,514-90-1278,OR,2020-12-22,Medium,2020-12-22
1716,Active,U7-1749667a,526-61-3606,IA,2021-02-08,Prohibited,2021-02-08
2072,Lapsed,e8-5797649R,275-34-0550,DE,2020-12-19,High,2020-12-19
4135,Active,P6-7575049n,866-47-9446,SD,2021-06-11,Prohibited,2021-06-11
9417,Active,P7-5142371X,305-73-4182,ID,2021-02-08,Low,2021-02-08
4695,Active,P9-2849263n,239-90-5031,FL,2021-04-20,Low,2021-04-20
4645,Lapsed,D0-8981328l,341-68-4790,MA,2020-08-25,Low,2020-08-25
3042,Lapsed,w4-2069098E,281-49-7950,NC,2021-03-05,Prohibited,2021-03-05
1000,Lapsed,B0-0034944B,115-90-1262,MT,2020-11-11,Medium,2020-11-11
4571,Active,h6-7931500c,428-26-2879,MN,2021-03-15,High,2021-03-15
9386,Lapsed,e2-7904381b,702-87-3422,CO,2021-07-21,Prohibited,2021-07-21
6080,Lapsed,p2-723310q,281-48-8589,SD,2020-12-12,Prohibited,2020-12-12
1767,Active,v0-0773586I,454-83-7225,MS,2021-06-27,Prohibited,2021-06-27
6777,Active,d1-0902483P,719-80-6720,NY,2020-11-10,Medium,2020-11-10
4269,Lapsed,Z4-0743741z,216-70-7284,AR,2020-08-29,Low,2020-08-29
5477,Active,O2-1551645J,870-44-1551,AR,2021-06-12,Low,2021-06-12
9761,Lapsed,Y3-8998559P,755-28-7826,ME,2021-04-16,Medium,2021-04-16
9192,Active,k8-4833463J,318-76-1726,AZ,2021-05-13,High,2021-05-13
8595,Lapsed,B1-1463036w,853-03-0518,GA,2021-03-12,High,2021-03-12
4270,Lapsed,z8-2158331q,074-87-3834,MN,2020-12-21,High,2020-12-21
1764,Active,K0-6801974l,568-55-5255,LA,2020-09-30,Low,2020-09-30
9088,Active,d9-5304455Q,515-13-1492,NH,2021-01-28,Prohibited,2021-01-28
9132,Lapsed,s3-511542b,495-38-8119,NE,2021-06-08,High,2021-06-08
926,Lapsed,q0-1634192D,479-08-5072,ID,2021-06-11,High,2021-06-11
486,Lapsed,I9-9124442X,556-84-9010,WA,2021-01-11,Prohibited,2021-01-11
5594,Lapsed,e5-4501932x,887-61-6079,CO,2021-06-04,Prohibited,2021-06-04
6949,Active,F5-4026695s,636-61-2085,MT,2021-01-19,Prohibited,2021-01-19
9951,Lapsed,I3-1655496o,681-70-3712,NM,2021-08-19,Low,2021-08-19
7928,Active,f2-9381195k,652-07-7365,NC,2021-01-13,Medium,2021-01-13
5203,Active,n8-6054692T,581-31-4096,ND,2021-05-31,Medium,2021-05-31
9623,Active,g9-3787567L,607-30-0568,NC,2021-04-17,Medium,2021-04-17
3750,Active,T5-9557252m,291-15-6326,HI,2021-06-02,High,2021-06-02
1954,Lapsed,y0-6159867N,345-54-5662,AL,2021-07-13,High,2021-07-13
6967,Lapsed,y3-2566916x,146-76-6288,CT,2021-01-19,Low,2021-01-19
6911,Lapsed,n3-3169163s,468-17-6796,NJ,2021-07-17,Low,2021-07-17
1370,Active,g0-5613001m,162-30-0623,IL,2020-11-13,Prohibited,2020-11-13
9709,Active,k9-0529913J,383-60-7438,MA,2020-12-23,Prohibited,2020-12-23
4097,Active,u6-5445860D,117-88-5396,AR,2021-08-07,Medium,2021-08-07
8937,Active,i2-7277005V,266-77-2129,NY,2020-08-27,Prohibited,2020-08-27
5633,Active,T5-5106704I,750-91-4873,KS,2020-09-15,Low,2020-09-15
2461,Active,T5-5312373S,038-26-8584,DC,2020-10-02,Medium,2020-10-02
660,Active,O9-0174743x,300-34-3897,MA,2021-04-22,High,2021-04-22
151,Active,E9-3079020O,084-59-1857,DE,2021-03-07,Prohibited,2021-03-07
2065,Lapsed,m1-3391074p,545-63-5259,MO,2021-05-23,Low,2021-05-23
6331,Lapsed,v0-4405834x,892-24-5011,AL,2021-04-28,Prohibited,2021-04-28
5980,Active,J2-616972w,516-14-0056,LA,2021-05-03,Prohibited,2021-05-03
461,Active,a7-7852380Q,209-29-5948,UT,2021-02-02,Prohibited,2021-02-02
6104,Lapsed,p1-7706139b,552-23-6112,MT,2020-10-05,Low,2020-10-05
5486,Lapsed,i1-6168624d,825-43-3789,MD,2021-02-01,Low,2021-02-01
8459,Active,a9-4967809K,318-25-8422,VT,2021-01-01,Prohibited,2021-01-01
9707,Active,l9-3298704c,778-08-6202,AR,2021-04-24,Medium,2021-04-24
9705,Lapsed,X7-3087570l,263-38-6347,AK,2020-11-17,Low,2020-11-17
6537,Lapsed,P7-764742G,276-11-0945,VA,2021-01-03,Low,2021-01-03
8832,Active,W9-9817438v,001-75-2171,DE,2020-12-31,Medium,2020-12-31
1820,Lapsed,r0-7772787K,234-72-0014,AZ,2021-05-26,High,2021-05-26
1720,Active,F0-0566954o,553-93-2090,KS,2021-01-06,Low,2021-01-06
9073,Lapsed,K9-0833857M,603-80-4721,DE,2021-01-14,High,2021-01-14
3162,Active,S2-4885484m,678-23-2630,NC,2020-10-20,Medium,2020-10-20
3460,Active,n9-1462977B,599-63-0615,VT,2020-12-23,Prohibited,2020-12-23
5288,Lapsed,Z5-6261029N,672-64-9761,NY,2021-01-02,Prohibited,2021-01-02
9092,Active,Y1-4658768F,319-71-3910,NE,2020-09-25,Low,2020-09-25
6593,Active,a6-5646013X,695-92-5859,NH,2020-11-30,Low,2020-11-30
2364,Active,a5-3153413D,123-27-3615,VA,2021-01-04,Prohibited,2021-01-04
672,Active,P3-9636147A,158-20-4583,RI,2021-07-01,High,2021-07-01
1360,Lapsed,e1-0346870u,529-62-5015,OK,2021-08-03,Low,2021-08-03
535,Lapsed,K1-3233507t,458-38-3157,MT,2021-07-12,High,2021-07-12
5807,Lapsed,P5-4237119O,352-27-2213,IL,2021-06-05,Medium,2021-06-05
3404,Active,e0-2798532F,473-62-2677,AL,2021-04-29,Prohibited,2021-04-29
6745,Lapsed,I7-43849t,525-29-7053,IL,2020-12-08,High,2020-12-08
9340,Lapsed,X5-4222299O,399-36-3571,WA,2021-04-28,Low,2021-04-28
1898,Lapsed,A4-5775302z,357-84-5030,ME,2020-12-11,Medium,2020-12-11
6743,Lapsed,P7-3462907M,474-87-2170,IL,2021-08-01,Low,2021-08-01
3394,Active,O0-5757165F,717-56-6174,OH,2020-10-21,Prohibited,2020-10-21
5544,Active,f7-571802u,460-53-3457,MT,2021-01-31,Prohibited,2021-01-31
1483,Lapsed,P4-9658762s,630-07-4187,MA,2021-04-08,High,2021-04-08
1688,Lapsed,c5-7687456h,583-67-0823,DC,2021-01-24,Medium,2021-01-24
2251,Active,L5-0506525I,674-62-9447,CO,2020-11-17,Prohibited,2020-11-17
4478,Active,t9-6307706G,886-07-6759,AR,2021-04-17,High,2021-04-17
3860,Active,n8-3988435Z,637-77-2854,AR,2020-10-03,Low,2020-10-03
2804,Lapsed,q6-1801880G,029-02-9781,SD,2020-11-21,Low,2020-11-21
3528,Lapsed,L0-7285222v,259-23-1129,NC,2021-08-08,Low,2021-08-08
6302,Lapsed,E9-964297M,838-05-4469,DE,2020-12-06,Prohibited,2020-12-06
7130,Lapsed,p8-3424462N,341-03-4903,AR,2021-02-13,High,2021-02-13
3260,Active,m3-3453295F,868-51-1682,FL,2021-04-24,Low,2021-04-24
3330,Lapsed,m5-2169362T,389-53-5419,RI,2021-08-04,Medium,2021-08-04
186,Active,F9-3623367N,770-27-4076,AK,2020-10-13,Medium,2020-10-13
8557,Active,b1-1434938N,169-78-7265,CT,2021-06-29,Low,2021-06-29
4596,Lapsed,F1-744893w,844-50-5146,PA,2020-12-12,Prohibited,2020-12-12
6859,Active,M3-8586172r,844-58-8764,PA,2021-08-20,High,2021-08-20
3525,Active,I5-6511789O,755-19-9328,OH,2020-10-16,Low,2020-10-16
8349,Lapsed,H7-9962385N,100-95-4628,IN,2020-12-09,Medium,2020-12-09
1666,Lapsed,Z4-8225741Z,464-80-1900,AL,2020-09-11,Prohibited,2020-09-11
5946,Lapsed,P1-4031246j,140-39-8761,NV,2020-08-27,Prohibited,2020-08-27
5455,Active,S6-8518282w,255-84-8197,LA,2020-11-24,Low,2020-11-24
4116,Lapsed,I9-7038243T,350-99-6723,PA,2021-01-11,Low,2021-01-11
8344,Active,J6-6986728b,587-43-1108,HI,2020-12-31,Prohibited,2020-12-31
3825,Lapsed,t1-5683998g,897-47-8074,NY,2021-08-23,Low,2021-08-23
8172,Active,s7-2993512F,015-15-2413,MO,2021-05-06,Low,2021-05-06
9490,Active,v7-5108535I,140-86-4194,MD,2021-04-24,Prohibited,2021-04-24
3474,Lapsed,e2-8405691D,284-17-3922,GA,2020-10-08,Medium,2020-10-08
9275,Active,k7-4827399l,166-45-5590,OH,2021-05-20,Low,2021-05-20
838,Active,c3-8279707e,700-65-3633,NJ,2021-02-15,Prohibited,2021-02-15
9276,Lapsed,w8-5561982Z,884-97-3848,AL,2021-04-28,Prohibited,2021-04-28
1772,Lapsed,G6-7993712h,605-06-8430,AZ,2020-09-16,Prohibited,2020-09-16
4348,Lapsed,b9-9741459K,684-25-8919,IL,2020-12-08,Low,2020-12-08
7081,Lapsed,g7-1845589I,501-48-2853,KS,2020-10-22,Prohibited,2020-10-22
1662,Lapsed,v9-2426086c,405-61-8120,NV,2021-03-01,High,2021-03-01
613,Active,x6-5807824o,209-58-8951,IN,2020-11-16,High,2020-11-16
1637,Active,K7-3765549K,394-90-4950,TX,2020-11-20,Low,2020-11-20
5371,Lapsed,k6-6739425u,233-16-8455,OH,2020-12-31,High,2020-12-31
5417,Lapsed,k3-0707867d,746-60-6795,NH,2020-09-28,Low,2020-09-28
1876,Lapsed,B8-3111710k,637-94-4463,NV,2020-10-04,Low,2020-10-04
4636,Lapsed,h0-2623096H,324-12-1599,PA,2020-12-04,High,2020-12-04
1602,Active,h8-3706896v,785-20-3712,MT,2021-03-02,Low,2021-03-02
3940,Lapsed,T8-1181798m,507-69-2948,MT,2021-02-21,High,2021-02-21
4964,Active,D1-0241398N,061-59-3041,ID,2020-12-20,High,2020-12-20
9347,Lapsed,K2-4499512H,539-96-7877,WA,2021-02-03,Medium,2021-02-03
1063,Lapsed,v4-2723651u,133-04-3900,SC,2021-06-28,Low,2021-06-28
1584,Active,y2-9673272p,192-26-9836,SD,2021-06-11,Medium,2021-06-11
6415,Lapsed,g2-904990L,033-44-5727,IA,2021-01-12,High,2021-01-12
7867,Lapsed,e0-234779B,796-62-5074,TN,2021-04-06,Low,2021-04-06
2444,Active,Q9-7663166b,808-43-9257,WA,2021-03-22,Medium,2021-03-22
5319,Active,B4-1577753n,344-42-1400,NY,2020-11-04,Medium,2020-11-04
3686,Lapsed,M0-0195428N,310-82-6636,CA,2020-09-28,Low,2020-09-28
2137,Active,q3-7807709C,076-89-8029,VT,2021-06-20,Medium,2021-06-20
3899,Active,W3-5844026c,633-82-5213,MI,2020-10-08,Low,2020-10-08
