Cust_ID,Acc_BBAN,Subscription,Start_Dt,End_Dt,Due_Dt,Category,Amount,Payment_Freq,Subscriptions_Count
47245001263,VQXJ20304099620108,Disney+,14-09-2021,05-03-2022,28th,OTT,41.25,Monthly,4
47245001263,TUKJ61324922296224,Meet Up,12-11-2020,20-04-2021,23th,Professional Networking,27.12,Monthly,1
53754593854,PGHD25669854530484,eBay,16-06-2021,12-12-2021,2nd,E-commerce,40.39,Monthly,3
53754593854,LZHG34549609471126,eBay,22-03-2021,27-08-2021,15th,E-commerce,39.1,Monthly,3
53754593854,LZHG34549609471126,Amazon,29-03-2021,13-09-2021,26th,E-commerce,7.21,Monthly,3
53754593854,HRNL16877940979625,YouTube Music,03-04-2021,19-10-2021,12th,Music,31.92,Monthly,2
53754593854,PGHD25669854530484,Apple Music,19-06-2021,25-12-2021,27th,Music,13.99,Monthly,2
67053125715,PZCF14818077769215,Walmart,03-10-2018,26-03-2019,10th,E-commerce,47.64,Monthly,2
67053125715,WMXC36150018891863,Etsy,15-08-2020,06-02-2021,28th,E-commerce,12.29,Monthly,2
67053125715,VVNU82553889854834,Spotify,19-04-2021,24-10-2021,17th,Music,10.59,Monthly,1
67053125715,WMXC36150018891863,HBO Max,17-08-2020,16-02-2021,3rd,OTT,17.48,Monthly,3
67053125715,WMXC36150018891863,HBO Max,10-08-2020,30-01-2021,12th,OTT,11.02,Monthly,3
67053125715,VVNU82553889854834,Disney+,30-04-2021,28-10-2021,6th,OTT,32.72,Monthly,3
67053125715,VVNU82553889854834,Jobcase,29-04-2021,25-10-2021,5th,Professional Networking,36.86,Monthly,1
69309465071,BQHV00738270233065,Amazon Music,24-05-2013,12-12-2013,6th,Music,42.55,Monthly,8
69309465071,BQHV00738270233065,Apple Music,09-06-2013,13-11-2013,14th,Music,31.57,Monthly,8
69309465071,EMVF13358933533708,Apple Music,01-06-2015,07-12-2015,13th,Music,22.02,Monthly,8
69309465071,YVNJ85796805331200,Apple Music,16-11-2013,12-05-2014,3rd,Music,11.87,Monthly,8
69309465071,YVNJ85796805331200,Apple Music,24-11-2013,17-05-2014,15th,Music,16.07,Monthly,8
69309465071,BYXY44262033273933,Amazon Music,19-02-2018,05-08-2018,17th,Music,14.06,Monthly,8
69309465071,WLNC17165954083197,Apple Music,23-01-2013,16-07-2013,7th,Music,20.55,Monthly,8
69309465071,WLNC17165954083197,Amazon Music,26-01-2013,20-07-2013,3rd,Music,19.71,Monthly,8
69309465071,BQHV00738270233065,HBO Max,12-06-2013,04-12-2013,12th,OTT,42.54,Monthly,4
69309465071,YVNJ85796805331200,HBO Max,04-11-2013,28-04-2014,28th,OTT,11.59,Monthly,4
69309465071,BYXY44262033273933,Disney+,09-02-2018,25-08-2018,5th,OTT,12.86,Monthly,4
69309465071,BYXY44262033273933,Disney+,11-02-2018,23-08-2018,2nd,OTT,40.44,Monthly,4
69309465071,WLNC17165954083197,Meet Up,25-01-2013,09-07-2013,26th,Professional Networking,35.98,Monthly,1
69780176909,SPIL99434643629213,eBay,17-06-2019,06-12-2019,16th,E-commerce,50.71,Monthly,2
69780176909,SPIL99434643629213,Amazon,16-06-2019,13-12-2019,14th,E-commerce,41.44,Monthly,2
69780176909,QRJK72891301650464,Apple Music,01-11-2019,25-04-2020,14th,Music,39.05,Monthly,1
69780176909,QRJK72891301650464,HBO Max,29-10-2019,03-05-2020,19th,OTT,17.38,Monthly,2
69780176909,QDGN95871152216672,Disney+,06-04-2021,09-10-2021,16th,OTT,33.69,Monthly,2
69780176909,SPIL99434643629213,Meet Up,29-05-2019,18-11-2019,7th,Professional Networking,26.82,Monthly,5
69780176909,WCSR67741271078718,Meet Up,26-08-2021,05-03-2022,7th,Professional Networking,46.91,Monthly,5
69780176909,QRJK72891301650464,LinkedIn,04-11-2019,10-04-2020,21th,Professional Networking,29.42,Monthly,5
69780176909,QDGN95871152216672,Xing,07-04-2021,28-10-2021,4th,Professional Networking,24.04,Monthly,5
69780176909,QDGN95871152216672,LinkedIn,17-04-2021,06-10-2021,5th,Professional Networking,11.66,Monthly,5
99017785390,SYAP59784170159748,eBay,14-09-2019,15-03-2020,6th,E-commerce,15.2,Monthly,7
99017785390,BKPZ98053489639175,Amazon,24-02-2019,06-08-2019,8th,E-commerce,16.92,Monthly,7
99017785390,DCFO63729799705351,Etsy,30-12-2019,16-06-2020,9th,E-commerce,19.23,Monthly,7
99017785390,DCFO63729799705351,Walmart,23-12-2019,26-06-2020,11th,E-commerce,34.18,Monthly,7
99017785390,VVBW03375789922802,Amazon,18-10-2017,13-04-2018,23th,E-commerce,6.25,Monthly,7
99017785390,WDDF62666536579468,eBay,04-08-2019,18-01-2020,5th,E-commerce,49.83,Monthly,7
99017785390,WDDF62666536579468,Etsy,06-08-2019,17-01-2020,22th,E-commerce,48.46,Monthly,7
99017785390,SYAP59784170159748,Spotify,27-09-2019,25-03-2020,14th,Music,22.4,Monthly,4
99017785390,ATFK53757616115141,Amazon Music,12-04-2018,10-10-2018,4th,Music,46.23,Monthly,4
99017785390,VVBW03375789922802,Spotify,30-09-2017,15-04-2018,22th,Music,35.3,Monthly,4
99017785390,WDDF62666536579468,YouTube Music,19-08-2019,16-01-2020,17th,Music,23.14,Monthly,4
99017785390,MHKQ37504898994360,Prime Video,26-02-2018,06-09-2018,14th,OTT,44.96,Monthly,1
99017785390,ATFK53757616115141,Jobcase,21-04-2018,11-10-2018,7th,Professional Networking,25.37,Monthly,2
99017785390,VVBW03375789922802,Jobcase,15-10-2017,08-04-2018,12th,Professional Networking,28.73,Monthly,2
102461637020,XJDD37945624506073,Amazon,14-04-2020,31-10-2020,1st,E-commerce,16.61,Monthly,7
102461637020,QWHM65801299165428,Etsy,04-02-2019,06-08-2019,5th,E-commerce,21.67,Monthly,7
102461637020,QWHM65801299165428,Amazon,05-02-2019,15-08-2019,20th,E-commerce,16.65,Monthly,7
102461637020,QWHM65801299165428,Etsy,29-01-2019,27-07-2019,21th,E-commerce,7.89,Monthly,7
102461637020,GQMZ54610725006316,eBay,20-02-2021,09-08-2021,12th,E-commerce,28.38,Monthly,7
102461637020,GQMZ54610725006316,Amazon,27-02-2021,27-08-2021,13th,E-commerce,48.12,Monthly,7
102461637020,KWIA61490281329387,eBay,30-12-2018,11-07-2019,19th,E-commerce,45.51,Monthly,7
102461637020,KWIA61490281329387,YouTube Music,07-01-2019,14-07-2019,4th,Music,26.44,Monthly,1
102461637020,XJDD37945624506073,Disney+,05-05-2020,31-10-2020,28th,OTT,33.88,Monthly,2
102461637020,KWIA61490281329387,Prime Video,21-12-2018,30-06-2019,25th,OTT,22.9,Monthly,2
102461637020,GQMZ54610725006316,LinkedIn,22-02-2021,30-08-2021,22th,Professional Networking,23.75,Monthly,3
102461637020,LCME78653219160745,Jobcase,16-04-2019,19-10-2019,21th,Professional Networking,19.85,Monthly,3
102461637020,RSPS19659256931556,Jobcase,26-09-2019,16-03-2020,2nd,Professional Networking,30.34,Monthly,3
143386280199,EIRN01630900134123,Amazon,13-04-2019,08-10-2019,17th,E-commerce,15.09,Monthly,3
143386280199,SYSC13210573898278,Walmart,04-06-2020,28-11-2020,16th,E-commerce,43.92,Monthly,3
143386280199,FGVO06707722562160,Walmart,28-07-2020,31-01-2021,3rd,E-commerce,42.24,Monthly,3
143386280199,BBPE79509695010896,YouTube Music,10-01-2019,15-06-2019,16th,Music,50.12,Monthly,1
143386280199,BBPE79509695010896,LinkedIn,06-01-2019,30-06-2019,21th,Professional Networking,43.19,Monthly,3
143386280199,BBPE79509695010896,Jobcase,31-12-2018,28-06-2019,23th,Professional Networking,11.02,Monthly,3
143386280199,SYSC13210573898278,Xing,19-06-2020,26-11-2020,4th,Professional Networking,15.01,Monthly,3
179498516918,TDJI16486801159819,Prime Video,01-12-2018,17-06-2019,19th,OTT,28.58,Monthly,1
179498516918,TDJI16486801159819,Meet Up,28-11-2018,07-06-2019,15th,Professional Networking,5.05,Monthly,1
191545508646,QHFY74970681466426,Walmart,18-08-2013,26-02-2014,23th,E-commerce,6.84,Monthly,1
191545508646,BTJI72294368417430,Spotify,31-03-2013,14-09-2013,9th,Music,25.9,Monthly,1
191545508646,BTJI72294368417430,Prime Video,24-03-2013,15-09-2013,17th,OTT,17.15,Monthly,1
196417388722,VOEP18744733127770,Prime Video,14-01-2020,09-08-2020,12th,OTT,17.61,Monthly,1
196417388722,AAIN17066441583153,Jobcase,09-11-2020,28-04-2021,19th,Professional Networking,25.66,Monthly,3
196417388722,VOEP18744733127770,Jobcase,17-01-2020,02-08-2020,24th,Professional Networking,13.48,Monthly,3
196417388722,VOEP18744733127770,Xing,19-01-2020,21-07-2020,3rd,Professional Networking,20.92,Monthly,3
207236203285,IPET56657761047318,eBay,09-06-2014,11-12-2014,26th,E-commerce,21.96,Monthly,1
207236203285,PWWH62476957731154,YouTube Music,10-05-2019,15-11-2019,17th,Music,42.16,Monthly,2
207236203285,PWWH62476957731154,Apple Music,26-05-2019,10-11-2019,21th,Music,38.08,Monthly,2
207236203285,IPET56657761047318,Xing,21-05-2014,30-11-2014,26th,Professional Networking,34.54,Monthly,1
210498519834,LCVG66439035460747,eBay,02-04-2021,26-09-2021,14th,E-commerce,30.49,Monthly,1
210498519834,NPQM33215615784684,YouTube Music,26-10-2020,27-04-2021,13th,Music,17.72,Monthly,3
210498519834,GXUA25318616654618,YouTube Music,06-07-2021,25-12-2021,2nd,Music,35.99,Monthly,3
210498519834,GXUA25318616654618,Spotify,27-06-2021,20-12-2021,3rd,Music,29.2,Monthly,3
210498519834,NPQM33215615784684,Prime Video,13-11-2020,03-05-2021,27th,OTT,13.78,Monthly,2
210498519834,LCVG66439035460747,Disney+,30-03-2021,11-09-2021,27th,OTT,44.29,Monthly,2
210498519834,NPQM33215615784684,LinkedIn,01-11-2020,23-04-2021,18th,Professional Networking,20.05,Monthly,1
317155050003,JNNA59135502042992,Apple Music,26-06-2021,15-01-2022,26th,Music,46.9,Monthly,1
317155050003,JNNA59135502042992,HBO Max,17-07-2021,11-01-2022,21th,OTT,34.98,Monthly,3
317155050003,XSOE75990185940377,Netflix,06-04-2021,03-10-2021,21th,OTT,15.33,Monthly,3
317155050003,CCGQ23529174327906,Prime Video,17-07-2020,31-01-2021,23th,OTT,7.43,Monthly,3
317155050003,JNNA59135502042992,LinkedIn,02-07-2021,15-01-2022,18th,Professional Networking,44.47,Monthly,1
342592061503,QLTE30682034479625,Amazon,13-06-2015,10-12-2015,28th,E-commerce,43.83,Monthly,3
342592061503,HZDT87068686317950,Etsy,30-05-2014,29-10-2014,17th,E-commerce,28.02,Monthly,3
342592061503,THTS35380689517172,eBay,06-07-2019,06-01-2020,3rd,E-commerce,24.07,Monthly,3
342592061503,QLTE30682034479625,Amazon Music,26-06-2015,21-12-2015,6th,Music,42.88,Monthly,4
342592061503,QLTE30682034479625,Apple Music,02-06-2015,09-12-2015,11th,Music,24.01,Monthly,4
342592061503,HZDT87068686317950,Amazon Music,24-05-2014,20-11-2014,10th,Music,40.72,Monthly,4
342592061503,ZVAQ39701947644319,Apple Music,23-02-2020,09-08-2020,26th,Music,32.51,Monthly,4
342592061503,HZDT87068686317950,Netflix,24-05-2014,14-11-2014,12th,OTT,35.49,Monthly,3
342592061503,THTS35380689517172,Netflix,04-07-2019,20-01-2020,9th,OTT,31.63,Monthly,3
342592061503,THTS35380689517172,Disney+,09-07-2019,13-01-2020,21th,OTT,42.79,Monthly,3
342592061503,LOKB42308550278821,Jobcase,31-05-2017,11-11-2017,28th,Professional Networking,46.69,Monthly,4
342592061503,LOKB42308550278821,Xing,27-05-2017,31-10-2017,17th,Professional Networking,15.91,Monthly,4
342592061503,ZVAQ39701947644319,LinkedIn,05-03-2020,29-08-2020,5th,Professional Networking,27.26,Monthly,4
342592061503,ZVAQ39701947644319,Jobcase,19-02-2020,26-08-2020,24th,Professional Networking,7.58,Monthly,4
353224917495,NIMO24388558321633,Amazon Music,01-09-2021,27-02-2022,27th,Music,47.2,Monthly,2
353224917495,NIMO24388558321633,Apple Music,01-09-2021,19-03-2022,21th,Music,43.35,Monthly,2
353224917495,NIMO24388558321633,Netflix,28-08-2021,14-03-2022,1st,OTT,34.35,Monthly,1
372781908623,IKMX47516359725784,Etsy,27-11-2020,22-05-2021,4th,E-commerce,21.48,Monthly,1
372781908623,IKMX47516359725784,YouTube Music,28-11-2020,21-05-2021,25th,Music,32.91,Monthly,3
372781908623,PHDF63670884321224,Amazon Music,17-11-2020,07-05-2021,19th,Music,22.74,Monthly,3
372781908623,PHDF63670884321224,Spotify,08-11-2020,19-04-2021,25th,Music,42.89,Monthly,3
372781908623,IKMX47516359725784,Disney+,20-11-2020,31-05-2021,28th,OTT,19.74,Monthly,2
372781908623,HICV46236586802168,Prime Video,16-09-2020,24-03-2021,11th,OTT,43.37,Monthly,2
372781908623,JULI94104385210457,Jobcase,02-09-2020,28-02-2021,2nd,Professional Networking,48.03,Monthly,2
372781908623,JULI94104385210457,Jobcase,06-09-2020,14-02-2021,13th,Professional Networking,12.36,Monthly,2
387477668040,PQBK57809098242002,Apple Music,21-03-2021,26-08-2021,15th,Music,22.31,Monthly,3
387477668040,AVYC49510732995130,Apple Music,14-02-2013,08-08-2013,23th,Music,49.05,Monthly,3
387477668040,AVYC49510732995130,Spotify,15-02-2013,18-07-2013,23th,Music,5.82,Monthly,3
387477668040,AVYC49510732995130,HBO Max,26-01-2013,26-07-2013,15th,OTT,18.5,Monthly,4
387477668040,XZIE98118293914489,HBO Max,12-04-2013,06-10-2013,18th,OTT,50.54,Monthly,4
387477668040,XZIE98118293914489,Disney+,21-03-2013,22-09-2013,2nd,OTT,34.04,Monthly,4
387477668040,XZIE98118293914489,Prime Video,06-04-2013,11-09-2013,8th,OTT,24.69,Monthly,4
387477668040,PQBK57809098242002,Meet Up,04-03-2021,08-09-2021,28th,Professional Networking,30.88,Monthly,1
396404228790,APZK45250423355464,Amazon Music,17-03-2021,06-09-2021,25th,Music,20.12,Monthly,1
396404228790,APZK45250423355464,Xing,12-03-2021,13-09-2021,15th,Professional Networking,38.4,Monthly,1
417544142873,SZRW92258780876780,eBay,09-05-2021,09-11-2021,25th,E-commerce,48.11,Monthly,1
417544142873,OQDK50430464353896,Apple Music,01-09-2019,25-03-2020,13th,Music,23.26,Monthly,2
417544142873,OQDK50430464353896,YouTube Music,12-09-2019,13-03-2020,17th,Music,43.74,Monthly,2
417544142873,EASV43424536912717,Prime Video,07-03-2021,28-09-2021,15th,OTT,24.62,Monthly,1
417544142873,SZRW92258780876780,LinkedIn,02-06-2021,20-11-2021,24th,Professional Networking,8.11,Monthly,4
417544142873,OQDK50430464353896,Jobcase,11-09-2019,14-03-2020,22th,Professional Networking,15.88,Monthly,4
417544142873,EASV43424536912717,Xing,17-03-2021,25-09-2021,18th,Professional Networking,22.28,Monthly,4
417544142873,EASV43424536912717,Jobcase,17-03-2021,02-09-2021,22th,Professional Networking,38.68,Monthly,4
420619289342,YRIE57903877929040,eBay,17-09-2017,03-03-2018,2nd,E-commerce,48.76,Monthly,3
420619289342,KNPY84710743584395,Amazon,30-01-2021,01-08-2021,12th,E-commerce,20.32,Monthly,3
420619289342,KNPY84710743584395,Amazon,23-02-2021,06-08-2021,8th,E-commerce,37.33,Monthly,3
420619289342,YRIE57903877929040,Prime Video,30-09-2017,09-03-2018,24th,OTT,9.24,Monthly,1
445436887700,HJVA71089936694115,HBO Max,22-05-2021,10-11-2021,8th,OTT,13.73,Monthly,1
458954113442,YFVH52456682171630,Etsy,14-05-2020,12-11-2020,18th,E-commerce,26.29,Monthly,5
458954113442,YFVH52456682171630,eBay,27-04-2020,28-10-2020,17th,E-commerce,10.82,Monthly,5
458954113442,IFVO52163194530291,Etsy,08-05-2013,24-11-2013,20th,E-commerce,48.76,Monthly,5
458954113442,LKOR19943578729920,eBay,24-12-2016,08-07-2017,18th,E-commerce,28.14,Monthly,5
458954113442,XCEY38690285044570,Walmart,16-07-2015,24-01-2016,27th,E-commerce,41.18,Monthly,5
458954113442,TMTI73480664952152,Apple Music,13-03-2018,27-08-2018,6th,Music,28.98,Monthly,3
458954113442,LKOR19943578729920,YouTube Music,04-01-2017,29-06-2017,18th,Music,28.89,Monthly,3
458954113442,OGJL66750641653116,Amazon Music,24-03-2015,01-09-2015,3rd,Music,31.48,Monthly,3
458954113442,LKOR19943578729920,Netflix,16-12-2016,12-06-2017,6th,OTT,9.45,Monthly,1
458954113442,TMTI73480664952152,LinkedIn,13-03-2018,31-08-2018,16th,Professional Networking,28.91,Monthly,5
458954113442,IFVO52163194530291,Jobcase,09-05-2013,30-10-2013,22th,Professional Networking,41.65,Monthly,5
458954113442,IFVO52163194530291,Meet Up,18-05-2013,26-11-2013,13th,Professional Networking,48.4,Monthly,5
458954113442,MSUJ52637869371289,LinkedIn,08-11-2020,21-04-2021,7th,Professional Networking,17.76,Monthly,5
458954113442,MSUJ52637869371289,Meet Up,19-10-2020,26-04-2021,1st,Professional Networking,28.06,Monthly,5
461489308207,QVDO73272045414623,eBay,13-08-2019,03-02-2020,27th,E-commerce,34.98,Monthly,1
461489308207,IRND76193671271135,Apple Music,25-05-2021,26-11-2021,2nd,Music,11.41,Monthly,1
461489308207,JRMR99682873861242,Disney+,05-02-2020,23-07-2020,19th,OTT,31.21,Monthly,3
461489308207,JRMR99682873861242,Disney+,19-01-2020,05-08-2020,26th,OTT,34.94,Monthly,3
461489308207,IRND76193671271135,Prime Video,06-06-2021,25-11-2021,17th,OTT,9.55,Monthly,3
461489308207,LSSE27562538530375,Jobcase,25-07-2020,13-01-2021,6th,Professional Networking,50.21,Monthly,1
500122681366,WHCB53620805832061,Walmart,22-05-2021,12-11-2021,7th,E-commerce,16.76,Monthly,2
500122681366,WHCB53620805832061,eBay,01-05-2021,31-10-2021,17th,E-commerce,48.23,Monthly,2
500122681366,HQAD48843826528287,Spotify,09-11-2017,06-05-2018,20th,Music,12.39,Monthly,4
500122681366,LZDS58431710970305,Amazon Music,17-03-2019,22-09-2019,4th,Music,35.12,Monthly,4
500122681366,SVSS97603163784908,Apple Music,16-05-2011,27-10-2011,4th,Music,32.91,Monthly,4
500122681366,ELOP90294637228783,Spotify,27-03-2013,07-10-2013,21th,Music,31.97,Monthly,4
500122681366,LZDS58431710970305,Netflix,11-03-2019,30-08-2019,12th,OTT,33.15,Monthly,2
500122681366,FDAT40204248889029,Disney+,19-07-2013,08-01-2014,20th,OTT,27.95,Monthly,2
500122681366,TAED26859696299826,Xing,23-08-2011,14-02-2012,25th,Professional Networking,20.31,Monthly,3
500122681366,TAED26859696299826,LinkedIn,06-08-2011,19-02-2012,7th,Professional Networking,27.63,Monthly,3
500122681366,SVSS97603163784908,LinkedIn,09-05-2011,10-11-2011,27th,Professional Networking,32.15,Monthly,3
528081846343,LXGO06371147931631,Amazon,21-03-2014,11-09-2014,19th,E-commerce,46.68,Monthly,2
528081846343,HZEK07784462910573,Walmart,04-02-2021,24-08-2021,10th,E-commerce,32.72,Monthly,2
528081846343,YHXU93184425116538,Spotify,01-06-2014,19-11-2014,22th,Music,46.23,Monthly,2
528081846343,QMLG28824082443624,YouTube Music,18-03-2021,20-09-2021,1st,Music,32.47,Monthly,2
528081846343,FXEO36074073080043,Netflix,26-05-2017,02-12-2017,9th,OTT,16.73,Monthly,6
528081846343,LXGO06371147931631,Netflix,20-03-2014,17-09-2014,6th,OTT,5.29,Monthly,6
528081846343,LXGO06371147931631,HBO Max,10-03-2014,05-09-2014,28th,OTT,38.81,Monthly,6
528081846343,HZEK07784462910573,Disney+,01-03-2021,23-08-2021,20th,OTT,48.23,Monthly,6
528081846343,HZEK07784462910573,Disney+,02-02-2021,14-08-2021,24th,OTT,48.18,Monthly,6
528081846343,QMLG28824082443624,HBO Max,01-04-2021,28-09-2021,1st,OTT,16.97,Monthly,6
528081846343,FXEO36074073080043,Xing,25-05-2017,09-12-2017,17th,Professional Networking,43.69,Monthly,4
528081846343,FXEO36074073080043,Xing,23-06-2017,21-12-2017,8th,Professional Networking,7.86,Monthly,4
528081846343,PILD82305916834954,LinkedIn,15-07-2017,21-12-2017,26th,Professional Networking,19.52,Monthly,4
528081846343,YHXU93184425116538,Xing,15-06-2014,22-11-2014,2nd,Professional Networking,16.84,Monthly,4
529560928666,OVUA97058447953186,Netflix,18-04-2021,28-09-2021,9th,OTT,32.18,Monthly,1
583270924721,MPAR68348957719524,Walmart,26-02-2021,19-08-2021,24th,E-commerce,37.53,Monthly,3
583270924721,XQJI05262703479720,Walmart,27-04-2019,15-10-2019,4th,E-commerce,41.63,Monthly,3
583270924721,IEJO47518496662703,Walmart,09-10-2017,05-04-2018,7th,E-commerce,13.86,Monthly,3
583270924721,MPAR68348957719524,Spotify,18-02-2021,15-08-2021,19th,Music,35.35,Monthly,1
583270924721,MPAR68348957719524,Disney+,24-02-2021,11-09-2021,27th,OTT,27.56,Monthly,2
583270924721,TZZY91753649554390,Netflix,29-12-2018,25-07-2019,6th,OTT,36.5,Monthly,2
583270924721,XQJI05262703479720,Jobcase,12-04-2019,04-11-2019,26th,Professional Networking,19.55,Monthly,4
583270924721,XQJI05262703479720,Xing,19-04-2019,01-11-2019,17th,Professional Networking,24.03,Monthly,4
583270924721,TZZY91753649554390,Jobcase,06-01-2019,01-07-2019,13th,Professional Networking,6.72,Monthly,4
583270924721,IEJO47518496662703,LinkedIn,12-10-2017,26-03-2018,10th,Professional Networking,49.69,Monthly,4
589408600093,VJNE42935125339408,Etsy,18-02-2020,13-09-2020,26th,E-commerce,24.34,Monthly,1
589408600093,VJNE42935125339408,Apple Music,16-03-2020,02-09-2020,14th,Music,11.07,Monthly,1
605465411967,SLAM86930579180630,Prime Video,23-10-2010,11-05-2011,1st,OTT,38.89,Monthly,4
605465411967,ZPYU33832158322454,Disney+,07-06-2012,26-11-2012,23th,OTT,47.49,Monthly,4
605465411967,YOIF62291141399839,Disney+,05-04-2014,30-09-2014,15th,OTT,36.92,Monthly,4
605465411967,GVSH37296279104443,Prime Video,17-03-2021,25-09-2021,7th,OTT,22.31,Monthly,4
605465411967,SLAM86930579180630,Jobcase,01-11-2010,22-04-2011,2nd,Professional Networking,12.6,Monthly,3
605465411967,ZPYU33832158322454,Jobcase,14-05-2012,20-11-2012,4th,Professional Networking,6.62,Monthly,3
605465411967,YOIF62291141399839,Jobcase,28-03-2014,28-09-2014,27th,Professional Networking,20.02,Monthly,3
611467690446,YYEK16812354756617,Etsy,07-04-2013,16-09-2013,6th,E-commerce,32.47,Monthly,2
611467690446,JOPI74842972615747,eBay,03-04-2020,12-10-2020,6th,E-commerce,35.98,Monthly,2
611467690446,VYBW97244138714168,Apple Music,13-12-2014,02-07-2015,3rd,Music,40.92,Monthly,1
611467690446,UDLM26207372761588,HBO Max,23-11-2012,18-05-2013,19th,OTT,21.43,Monthly,6
611467690446,UDLM26207372761588,Prime Video,25-11-2012,02-05-2013,24th,OTT,11.11,Monthly,6
611467690446,TCKY84809712074944,HBO Max,07-05-2014,21-11-2014,22th,OTT,40.99,Monthly,6
611467690446,TLWY70013420567280,Disney+,22-10-2019,19-05-2020,10th,OTT,8.51,Monthly,6
611467690446,TLWY70013420567280,Disney+,12-11-2019,05-05-2020,27th,OTT,6.69,Monthly,6
611467690446,JOPI74842972615747,Netflix,22-04-2020,27-09-2020,23th,OTT,25.72,Monthly,6
611467690446,YYEK16812354756617,Jobcase,23-03-2013,03-10-2013,25th,Professional Networking,26.63,Monthly,2
611467690446,YYEK16812354756617,Xing,28-03-2013,15-09-2013,24th,Professional Networking,43.65,Monthly,2
633957941739,AESE77105607017711,Walmart,15-04-2020,06-10-2020,25th,E-commerce,24.84,Monthly,1
633957941739,BQJE15699909742537,YouTube Music,26-03-2021,26-09-2021,4th,Music,27.28,Monthly,4
633957941739,BQJE15699909742537,Amazon Music,22-04-2021,11-10-2021,10th,Music,48.06,Monthly,4
633957941739,JVVM47937635720489,Apple Music,04-05-2018,03-11-2018,25th,Music,41.05,Monthly,4
633957941739,QEGG35738481834537,Spotify,28-11-2018,04-06-2019,8th,Music,19.59,Monthly,4
633957941739,IKFF70994185358720,Netflix,24-08-2018,14-03-2019,25th,OTT,12.17,Monthly,5
633957941739,JVVM47937635720489,Disney+,25-05-2018,15-11-2018,19th,OTT,22.72,Monthly,5
633957941739,AESE77105607017711,Prime Video,27-03-2020,29-09-2020,24th,OTT,5.95,Monthly,5
633957941739,VHVL99875767163058,Disney+,08-05-2021,31-10-2021,19th,OTT,33.18,Monthly,5
633957941739,QEGG35738481834537,Prime Video,16-11-2018,29-05-2019,15th,OTT,30.26,Monthly,5
633957941739,IKFF70994185358720,LinkedIn,01-09-2018,08-03-2019,26th,Professional Networking,20.26,Monthly,3
633957941739,BQJE15699909742537,Xing,21-04-2021,24-09-2021,26th,Professional Networking,43.33,Monthly,3
633957941739,VHVL99875767163058,Meet Up,01-05-2021,22-10-2021,27th,Professional Networking,18.97,Monthly,3
671230624450,PWTQ69159402729175,Amazon,20-01-2020,07-07-2020,10th,E-commerce,19.0,Monthly,3
671230624450,CLLO15705552575518,Walmart,18-04-2019,23-10-2019,14th,E-commerce,25.2,Monthly,3
671230624450,SQKV96222885597790,Etsy,05-04-2015,17-10-2015,28th,E-commerce,6.03,Monthly,3
671230624450,PTUM02631978001254,Apple Music,08-06-2017,19-12-2017,9th,Music,7.23,Monthly,3
